"CODIGOMATERIA","MATERIA","CLASIFMATERIA","TIPOMATERIA","CARRERA","NIVEL","TIPO_MATERIA_MALLA"
ACUG1035       ,ACUICULTURA ORNAMENTAL,G,T,Acuicultura,"400I",M
ACUG1036       ,ANÁLISIS DE DATOS ACUÍCOLAS,G,R,Acuicultura,"200II",M
ACUG1039       ,CULTIVO DE ESPECIES NO TRADICIONALES,G,R,Acuicultura,"400I",M
ACUG1040       ,CULTIVO DE PLANCTON,G,R,Acuicultura,"300II",M
ACUG1041       ,ECOSISTEMAS ACUÍCOLAS,G,T,Acuicultura,"200I",M
ACUG1042       ,FUNDAMENTOS DE INGENIERÍA ACUÍCOLA,G,R,Acuicultura,"200II",M
ACUG1043       ,HERRAMIENTAS PARA EL DIAGNÓSTICO DE ENFERMEDADES ACUÍCOLAS,G,R,Acuicultura,"400I",M
ACUG1045       ,PRODUCCIÓN ACUÍCOLA II,G,R,Acuicultura,"400II",M
ACUG1046       ,PRODUCCIÓN ACUICOLA I,G,R,Acuicultura,"400I",M
ACUG1047       ,PISCICULTURA,G,R,Acuicultura,"400I",M
ACUG1048       ,SISTEMAS ACUÍCOLAS,G,R,Acuicultura,"300II",M
ACUG1049       ,INGENIERÍA PARA LA ACUICULTURA II,G,T,Acuicultura,"300II",M
ACUG1050       ,INGENIERÍA PARA LA ACUICULTURA I,G,T,Acuicultura,"300I",M
ACUG1051       ,NUTRICIÓN ACUÍCOLA,G,R,Acuicultura,"200II",M
ACUG1052       ,MORFOLOGÍA Y FISIOLOGÍA DE ORGANISMOS ACUÍCOLAS,G,R,Acuicultura,"200II",M
ACUG1053       ,MANEJO ACUÍCOLA,G,R,Acuicultura,"200II",M
ACUG1054       ,INTRODUCCIÓN A LA ACUICULTURA,G,R,Acuicultura,"200I",M
ACUG1055       ,PROBLEMAS DE LA ACTUALIDAD ACUÍCOLA,G,R,Acuicultura,"100II",M
ACUG1056       ,PATOLOGÍA ACUÍCOLA II,G,R,Acuicultura,"300II",M
ACUG1057       ,PATOLOGÍA ACUÍCOLA I,G,R,Acuicultura,"300I",M
ACUG1058       ,MATERIA INTEGRADORA DE ACUICULTURA,T,T,Acuicultura,"400II",M
ACUG1059       ,BUENAS PRÁCTICAS EN ACUICULTURA,G,R,Acuicultura,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Acuicultura,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Administración de Empresas,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Alimentos,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Arqueología,"200II",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Auditoría y Control de Gestión,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Biología,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Computación,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Diseño de Productos,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Diseño Gráfico,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Economía,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Electricidad,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Electrónica y Automatización,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Estadística,"300II",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Geología,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Ingeniería Agrícola y Biológica,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Ingeniería Civil,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Ingeniería Industrial,"500I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Ingeniería Naval,"400I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Ingeniería Química,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Logistica y Transporte,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Matemática,"300II",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Materiales,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Mecánica,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Mecatrónica,"400II",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Minas,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Nutrición y Dietética,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Oceanografía,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Petróleos,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Producción para Medios de Comunicación,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Telecomunicaciones,"300II",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Telemática,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Turismo,"300I",M
ADMG1006       ,GESTIÓN DE PROYECTOS Y REGULACIÓN EN TELECOMUNICACIONES,G,T,Telecomunicaciones,"300II",M
ADMG1007       ,ESTRATEGIAS DE GESTIÓN,G,T,Estadística,"400I",M
ADMG1007       ,ESTRATEGIAS DE GESTIÓN,G,T,Logistica y Transporte,"400II",M
ADMG1007       ,ESTRATEGIAS DE GESTIÓN,G,T,Matemática,"400I",M
ADMG1801       ,EMPRENDIMIENTO E INNOVACIÓN,G,R, Ciencia de Datos e Inteligencia Artificial,"300I",M
ADMG1801       ,EMPRENDIMIENTO E INNOVACIÓN,G,R, Ciencia de Datos e Inteligencia Artificial,"300I",M
ADMG2001       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Tecnologías de la Información,"400I",M
ADMG2022       ,ADMINISTRACIÓN DE OPERACIONES,G,R,Administración de Empresas,"300I",M
ADMG2022       ,ADMINISTRACIÓN DE OPERACIONES,G,R,Turismo,"200II",M
ADMG2024       ,COMERCIO EXTERIOR,G,T,Administración de Empresas,"400I",M
ADMG2025       ,COMPORTAMIENTO ORGANIZACIONAL,G,T,Administración de Empresas,"200I",M
ADMG2025       ,COMPORTAMIENTO ORGANIZACIONAL,G,T,Ingeniería en Auditoría y Contaduría Pública Autorizada,,L
ADMG2025       ,COMPORTAMIENTO ORGANIZACIONAL,G,T,Ingeniería Industrial,"400II",M
ADMG2026       ,DESARROLLO ORGANIZACIONAL,G,R,Auditoría y Control de Gestión,"300I",M
ADMG2026       ,DESARROLLO ORGANIZACIONAL,G,R,Ingeniería en Auditoría y Contaduría Pública Autorizada,,L
ADMG2028       ,ESTRATEGIAS CORPORATIVAS Y DE NEGOCIOS,G,R,Administración de Empresas,"400I",M
ADMG2029       ,FUNDAMENTOS DE ADMINISTRACIÓN,G,T,Administración de Empresas,"100II",M
ADMG2029       ,FUNDAMENTOS DE ADMINISTRACIÓN,G,T,Auditoría y Control de Gestión,"100II",M
ADMG2029       ,FUNDAMENTOS DE ADMINISTRACIÓN,G,T,Economía,"100II",M
ADMG2029       ,FUNDAMENTOS DE ADMINISTRACIÓN,G,T,Turismo,"200I",M
ADMG2030       ,FUNDAMENTOS DE MARKETING,G,R,Administración de Empresas,"200II",M
ADMG2030       ,FUNDAMENTOS DE MARKETING,G,R,Diseño de Productos,"200II",M
ADMG2030       ,FUNDAMENTOS DE MARKETING,G,R,Turismo,"100II",M
ADMG2031       ,MATERIA INTEGRADORA DE ADMINISTRACIÓN DE EMPRESAS,T,T,Administración de Empresas,"400II",M
ADMG2032       ,GESTIÓN COMERCIAL,G,T,Administración de Empresas,"300II",M
ADMG2033       ,GESTIÓN DE MARKETING,G,T,Administración de Empresas,"300II",M
ADMG2034       ,GESTIÓN DE RECURSOS HUMANOS,G,T,Administración de Empresas,"200I",M
ADMG2035       ,INVESTIGACIÓN DE MERCADOS,G,R,Administración de Empresas,"300I",M
ADMG2035       ,INVESTIGACIÓN DE MERCADOS,G,R,Economía,"300II",M
ADMG2035       ,INVESTIGACIÓN DE MERCADOS,G,R,Turismo,"300I",M
ADMG2036       ,PLANIFICACIÓN ESTRATÉGICA,G,T,Administración de Empresas,"400II",M
ADMG2037       ,GESTIÓN DE PROYECTOS,G,R,Administración de Empresas,"400I",M
ADMG2037       ,GESTIÓN DE PROYECTOS,G,R,Turismo,"400I",M
ADMT3004       ,LIDERAZGO Y EMPRENDIMIENTO,G,R,Tecnología Superior en Logistica Portuaria,"200II",M
ADMT3004       ,LIDERAZGO Y EMPRENDIMIENTO,G,R,Tecnología Superior en Mecatrónica,"200II",M
ADMT3005       ,COMERCIO EXTERIOR,G,R,Tecnología Superior en Logistica Portuaria,"200I",M
ADSG1001       ,INTRODUCCIÓN A LA GESTIÓN AMBIENTAL,G,T,Tecnologías de la Información,"300II",M
ADSG1019       ,CONTAMINACIÓN AMBIENTAL,G,R,Biología,"300II",M
ADSG1020       ,ECOLOGÍA ACUÁTICA,G,R,Biología,"300II",M
ADSG1021       ,ECOLOGÍA DE ECOSISTEMAS,G,R,Biología,"300I",M
ADSG1022       ,ECOLOGÍA GENERAL,G,R,Biología,"200II",M
ADSG1023       ,REMEDIACIÓN AMBIENTAL,G,R,Biología,"400II",M
ADSG1024       ,PRINCIPIOS DE ECOTOXICOLOGÍA,G,R,Biología,"400I",M
ADSG1025       ,"GESTIÓN DE CALIDAD, AMBIENTE Y SEGURIDAD EN LA INDUSTRIA",G,R,Ingeniería Química,"300I",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Acuicultura,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Administración de Empresas,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Alimentos,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Arqueología,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Auditoría y Control de Gestión,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Biología,"200II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Computación,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Diseño de Productos,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Diseño Gráfico,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Economía,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Electricidad,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Electrónica y Automatización,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Estadística,"300I",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Geología,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Ingeniería Agrícola y Biológica,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Ingeniería Civil,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Ingeniería Industrial,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Ingeniería Naval,"200II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Ingeniería Química,"400I",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Logistica y Transporte,"400I",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Matemática,"400I",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Materiales,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Mecánica,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Mecatrónica,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Minas,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Nutrición y Dietética,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Oceanografía,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Petróleos,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Producción para Medios de Comunicación,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Telecomunicaciones,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Telemática,"300II",M
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T,Turismo,"300I",M
ADSG1029       ,TRATAMIENTO DE AGUAS,G,R,Ingeniería Química,"400II",M
ADSG1801       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T, Ciencia de Datos e Inteligencia Artificial,"300II",M
ADSG1801       ,CIENCIAS DE LA SOSTENIBILIDAD,G,T, Ciencia de Datos e Inteligencia Artificial,"300II",M
ADST3002       ,CIENCIAS AMBIENTALES,G,R,Tecnología Superior en Logistica Portuaria,"100II",M
AGRG1022       ,AGRICULTURA DE PRECISIÓN,G,R,Ingeniería Agrícola y Biológica,"400I",M
AGRG1023       ,AGROECOSISTEMAS,G,R,Ingeniería Agrícola y Biológica,"400II",M
AGRG1024       ,DIAGNÓSTICO Y PROTECCIÓN VEGETAL II,G,R,Ingeniería Agrícola y Biológica,"300I",M
AGRG1025       ,DIAGNÓSTICO Y PROTECCIÓN VEGETAL I,G,R,Ingeniería Agrícola y Biológica,"200II",M
AGRG1026       ,EDAFOLOGÍA,G,R,Ingeniería Agrícola y Biológica,"200II",M
AGRG1027       ,FISIOLOGÍA VEGETAL,G,T,Biología,"300I",M
AGRG1027       ,FISIOLOGÍA VEGETAL,G,T,Ingeniería Agrícola y Biológica,"100II",M
AGRG1028       ,GESTIÓN DE UNIDADES DE PRODUCCIÓN AGROPECUARIA,G,T,Ingeniería Agrícola y Biológica,"400I",M
AGRG1029       ,MATERIA INTEGRADORA DE INGENIERÍA AGRÍCOLA Y BIOLÓGICA,T,T,Ingeniería Agrícola y Biológica,"400II",M
AGRG1030       ,MECANIZACIÓN AGRÍCOLA,G,R,Ingeniería Agrícola y Biológica,"400I",M
AGRG1032       ,PRODUCCIÓN VEGETAL I,G,R,Ingeniería Agrícola y Biológica,"200II",M
AGRG1033       ,PRODUCCIÓN VEGETAL II,G,R,Ingeniería Agrícola y Biológica,"300I",M
AGRG1035       ,RIEGO Y DRENAJE,G,R,Ingeniería Agrícola y Biológica,"300II",M
AGRG1036       ,SILVICULTURA,G,R,Ingeniería Agrícola y Biológica,"400I",M
AGRG1037       ,NUTRICIÓN VEGETAL,G,R,Ingeniería Agrícola y Biológica,"300I",M
AGRG1038       ,PRODUCCIÓN PECUARIA II,G,R,Ingeniería Agrícola y Biológica,"300II",M
AGRG1039       ,PRODUCCIÓN PECUARIA I,G,R,Ingeniería Agrícola y Biológica,"300I",M
AGRG1040       ,PRODUCCIÓN VEGETAL III,G,R,Ingeniería Agrícola y Biológica,"400I",M
AGRG1041       ,SEMILLEROS Y VIVEROS,G,R,Ingeniería Agrícola y Biológica,"200I",M
ALIG1029       ,ANÁLISIS DE ALIMENTOS,G,R,Alimentos,"200II",M
ALIG1030       ,BIOQUÍMICA ALIMENTARIA,G,R,Alimentos,"200II",M
ALIG1031       ,CONTROL DE CALIDAD Y EVALUACIÓN SENSORIAL DE ALIMENTOS,G,R,Alimentos,"200II",M
ALIG1032       ,DESARROLLO DE NUEVOS PRODUCTOS ALIMENTICIOS,G,R,Alimentos,"400I",M
ALIG1033       ,DISEÑO DE PLANTAS ALIMENTARIAS,G,T,Alimentos,"400II",M
ALIG1034       ,DISEÑO DE PROCESOS TÉRMICOS I,G,R,Alimentos,"300II",M
ALIG1035       ,DISEÑO DE PROCESOS TÉRMICOS II,G,R,Alimentos,"400I",M
ALIG1036       ,FERMENTACIÓN Y ENZIMOLOGÍA ALIMENTARIA,G,R,Alimentos,"300I",M
ALIG1037       ,FUNDAMENTOS DE LA INGENIERÍA EN ALIMENTOS,G,R,Alimentos,"200II",M
ALIG1038       ,INGENIERÍA DE PROCESOS ALIMENTARIOS,G,R,Alimentos,"300II",M
ALIG1039       ,INOCUIDAD ALIMENTARIA,G,R,Alimentos,"200II",M
ALIG1040       ,MATERIA INTEGRADORA DE ALIMENTOS,T,T,Alimentos,"400II",M
ALIG1041       ,MICROBIOLOGÍA DE ALIMENTOS,G,R,Alimentos,"200I",M
ALIG1042       ,OPTIMIZACIÓN Y SIMULACIÓN DE PROCESOS ALIMENTARIOS,G,R,Alimentos,"400I",M
ALIG1043       ,PROCESAMIENTO DE FARINÁCEOS Y OLEAGINOSAS,G,R,Alimentos,"400I",M
ALIG1044       ,PROCESAMIENTO DE FRUTAS Y VEGETALES,G,R,Alimentos,"300I",M
ALIG1045       ,PROCESAMIENTO DE LÁCTEOS,G,R,Alimentos,"300II",M
ALIG1046       ,"PROCESAMIENTO DE CÁRNICOS, PESCADOS Y MARISCOS",G,R,Alimentos,"300II",M
ALIG1047       ,SANIDAD E HIGIENE ALIMENTARIA,G,R,Alimentos,"400I",M
ALIG1050       ,QUÍMICA ALIMENTARIA,G,R,Alimentos,"200I",M
ARQG2020       ,ANTROPOLOGÍA BIOLÓGICA,G,R,Arqueología,"200II",M
ARQG2021       ,ARQUEOLOGÍA DE MESOAMÉRICA,G,R,Arqueología,"200II",M
ARQG2022       ,BIOARQUEOLOGÍA,G,R,Arqueología,"300I",M
ARQG2023       ,PROYECTOS DE INVESTIGACIÓN ARQUEOLÓGICA,G,R,Arqueología,"400I",M
ARQG2024       ,MATERIA INTEGRADORA EN ARQUEOLOGÍA,T,T,Arqueología,"400II",M
ARQG2025       ,ARQUEOLOGÍA DEL ECUADOR II,G,T,Arqueología,"200I",M
ARQG2026       ,LABORATORIO DE ARQUEOLOGÍA II,G,R,Arqueología,"400II",M
ARQG2028       ,CAMPO DE ANTROPOLOGÍA SOCIOCULTURAL II,G,R,Arqueología,"400I",M
ARQG2029       ,LABORATORIO DE ARQUEOLOGÍA I,G,R,Arqueología,"300II",M
ARQG2030       ,CAMPO DE ARQUEOLOGÍA I,G,R,Arqueología,"300I",M
ARQG2031       ,ARQUEOLOGÍA ANDINOAMERICANA,G,R,Arqueología,"200II",M
ARQG2032       ,ARQUEOLOGÍA DE LAS TIERRAS BAJAS DE SUDAMÉRICA Y DEL CARIBE,G,T,Arqueología,"200II",M
ARQG2033       ,ARQUEOLOGÍA DEL ECUADOR I,G,T,Arqueología,"100II",M
ARQG2034       ,ARQUEOLOGÍA DEL VIEJO MUNDO,G,R,Arqueología,"100II",M
ARQG2035       ,ARQUEOLOGÍA SOCIAL LATINOAMERICANA,G,R,Arqueología,"200I",M
ARQG2036       ,CAMPO DE ANTROPOLOGÍA SOCIOCULTURAL I,G,R,Arqueología,"300I",M
ARQG2037       ,ORÍGENES DE LOS ESTADOS PREHISPÁNICOS,G,R,Arqueología,"300II",M
ARQG2038       ,PRIMER POBLAMIENTO AMERICANO,G,R,Arqueología,"200I",M
ARQG2039       ,TEORÍA ANTROPOLÓGICA Y ARQUEOLÓGICA,G,T,Arqueología,"100II",M
ARQG2040       ,GEOMÁTICA,G,R,Arqueología,"200I",M
ARQG2041       ,GEOGRAFÍA FÍSICA,G,R,Arqueología,"100I",M
ARQG2041       ,GEOGRAFÍA FÍSICA,G,R,Turismo,"100I",M
ARQG2042       ,INTRODUCCIÓN A LA ANTROPOLOGÍA Y ARQUEOLOGÍA,G,R,Arqueología,"100I",M
ARQG2042       ,INTRODUCCIÓN A LA ANTROPOLOGÍA Y ARQUEOLOGÍA,G,R,Turismo,"100I",M
ARQG2043       ,CAMPO DE ARQUEOLOGÍA II,G,R,Arqueología,"400I",M
ARTG2002       ,ARTE Y CIENCIA,G,R,Licenciatura en Diseño Web y Aplicaciones Multimedia,,L
ARTG2023       ,ARTE Y CIENCIA,G,T,Diseño Gráfico,"100II",M
ARTG2023       ,ARTE Y CIENCIA,G,T,Licenciatura en Diseño Web y Aplicaciones Multimedia,,L
ARTG2023       ,ARTE Y CIENCIA,G,T,Producción para Medios de Comunicación,"100II",M
ARTG2024       ,ARTE Y TECNOLOGÍA,G,R,Diseño de Productos,"100I",M
ARTG2024       ,ARTE Y TECNOLOGÍA,G,R,Diseño Gráfico,"100I",M
ARTG2024       ,ARTE Y TECNOLOGÍA,G,R,Producción para Medios de Comunicación,"100I",M
ARTG2025       ,DIBUJO  I,G,R,Diseño de Productos,"100I",M
ARTG2025       ,DIBUJO  I,G,R,Diseño Gráfico,"100I",M
ARTG2025       ,DIBUJO  I,G,R,Producción para Medios de Comunicación,"100I",M
ARTG2026       ,DIBUJO II,G,R,Diseño de Productos,"100II",M
ARTG2026       ,DIBUJO II,G,R,Diseño Gráfico,"100II",M
ARTG2026       ,DIBUJO II,G,R,Producción para Medios de Comunicación,"100II",M
ARTG2028       ,HISTORIA DEL ARTE,G,T,Diseño Gráfico,"100II",M
ARTG2028       ,HISTORIA DEL ARTE,G,T,Producción para Medios de Comunicación,"100II",M
ARTG2029       ,HISTORIA DEL CINE,G,T,Producción para Medios de Comunicación,"200I",M
ARTG2030       ,INVESTIGACIÓN AUDIOVISUAL,G,R,Producción para Medios de Comunicación,"200I",M
ARTG2032       ,TALLER DE ILUSTRACIÓN,G,R,Diseño Gráfico,"200II",M
ARTG2033       ,TÉCNICAS PICTÓRICAS,G,R,Diseño Gráfico,"200I",M
AUDG2006       ,CONTROL INTERNO,G,T,Ingeniería en Auditoría y Contaduría Pública Autorizada,,L
AUDG2007       ,PRÁCTICA TRIBUTARIA,G,R,Ingeniería en Auditoría y Contaduría Pública Autorizada,,L
AUDG2013       ,NORMAS TÉCNICAS DE CONTROL EMPRESARIAL,G,T,Ingeniería en Auditoría y Contaduría Pública Autorizada,,L
AUDG2014       ,AUDITORÍA Y CONTROL DE PROYECTOS,G,T,Ingeniería en Auditoría y Contaduría Pública Autorizada,,L
AUDG2018       ,CONTROL INTERNO PÚBLICO,G,T,Ingeniería en Auditoría y Contaduría Pública Autorizada,,L
AUDG2019       ,AUDITORÍA GUBERNAMENTAL,G,T,Ingeniería en Auditoría y Contaduría Pública Autorizada,,L
AUDG2023       ,AUDITORÍA DE SISTEMAS INTEGRADOS,G,T,Ingeniería en Auditoría y Contaduría Pública Autorizada,,L
AUDG2024       ,GESTIÓN DE LA PRODUCTIVIDAD,G,R,Ingeniería en Auditoría y Contaduría Pública Autorizada,,L
AUDG2026       ,AUDITORÍA DE SISTEMAS INTEGRADOS,G,R,Auditoría y Control de Gestión,"400I",M
AUDG2026       ,AUDITORÍA DE SISTEMAS INTEGRADOS,G,R,Ingeniería en Auditoría y Contaduría Pública Autorizada,,L
AUDG2027       ,AUDITORÍA FINANCIERA I,G,R,Auditoría y Control de Gestión,"400I",M
AUDG2028       ,AUDITORÍA FINANCIERA II,G,R,Auditoría y Control de Gestión,"400II",M
AUDG2030       ,AUDITORÍA OPERACIONAL,G,T,Auditoría y Control de Gestión,"400I",M
AUDG2032       ,CONTABILIDAD AVANZADA,G,R,Auditoría y Control de Gestión,"200II",M
AUDG2033       ,CONTABILIDAD DE COSTOS,G,R,Administración de Empresas,"200II",M
AUDG2033       ,CONTABILIDAD DE COSTOS,G,R,Auditoría y Control de Gestión,"300I",M
AUDG2034       ,CONTABILIDAD FINANCIERA,G,R,Administración de Empresas,"100I",M
AUDG2034       ,CONTABILIDAD FINANCIERA,G,R,Economía,"100I",M
AUDG2034       ,CONTABILIDAD FINANCIERA,G,R,Turismo,"200I",M
AUDG2035       ,CONTABILIDAD I,G,R,Auditoría y Control de Gestión,"100I",M
AUDG2036       ,CONTABILIDAD II,G,R,Auditoría y Control de Gestión,"100II",M
AUDG2037       ,CONTABILIDAD III,G,R,Auditoría y Control de Gestión,"200I",M
AUDG2038       ,CONTROL INTERNO,G,T,Auditoría y Control de Gestión,"400I",M
AUDG2038       ,CONTROL INTERNO,G,T,Ingeniería en Auditoría y Contaduría Pública Autorizada,,L
AUDG2039       ,FUNDAMENTOS DE AUDITORÍA,G,R,Auditoría y Control de Gestión,"100II",M
AUDG2040       ,MATERIA INTEGRADORA DE AUDITORÍA Y CONTROL DE GESTIÓN,T,T,Auditoría y Control de Gestión,"400II",M
AUDG2041       ,PRÁCTICA TRIBUTARIA,G,R,Auditoría y Control de Gestión,"300II",M
AUDG2041       ,PRÁCTICA TRIBUTARIA,G,R,Ingeniería en Auditoría y Contaduría Pública Autorizada,,L
AUDG2042       ,SISTEMAS DE CONTROL DE GESTIÓN,G,R,Auditoría y Control de Gestión,"300II",M
AUDG2043       ,INTRODUCCIÓN A LAS TÉCNICAS DE AUDITORÍA,G,R,Auditoría y Control de Gestión,"200II",M
AUDG2044       ,GESTIÓN DE LA PRODUCTIVIDAD,G,R,Auditoría y Control de Gestión,"300II",M
AUDG2044       ,GESTIÓN DE LA PRODUCTIVIDAD,G,R,Ingeniería en Auditoría y Contaduría Pública Autorizada,,L
BIOG1001       ,BIOLOGÍA,G,R,Tecnologías de la Información,"100II",M
BIOG1021       ,BIOLOGÍA CELULAR Y MOLECULAR,G,R,Biología,"200I",M
BIOG1021       ,BIOLOGÍA CELULAR Y MOLECULAR,G,R,Ingeniería Agrícola y Biológica,"200I",M
BIOG1021       ,BIOLOGÍA CELULAR Y MOLECULAR,G,R,Nutrición y Dietética,"200I",M
BIOG1022       ,BIOLOGÍA GENERAL,G,R,Acuicultura,"100II",M
BIOG1022       ,BIOLOGÍA GENERAL,G,R,Alimentos,"100II",M
BIOG1022       ,BIOLOGÍA GENERAL,G,R,Biología,"100II",M
BIOG1022       ,BIOLOGÍA GENERAL,G,R,Ingeniería Agrícola y Biológica,"100II",M
BIOG1022       ,BIOLOGÍA GENERAL,G,R,Ingeniería Química,"100II",M
BIOG1022       ,BIOLOGÍA GENERAL,G,R,Nutrición y Dietética,"100II",M
BIOG1023       ,FISIOLOGÍA ANIMAL,G,R,Biología,"400I",M
BIOG1024       ,BIOQUÍMICA,G,R,Acuicultura,"200I",M
BIOG1024       ,BIOQUÍMICA,G,R,Biología,"200I",M
BIOG1024       ,BIOQUÍMICA,G,R,Ingeniería Agrícola y Biológica,"200I",M
BIOG1024       ,BIOQUÍMICA,G,R,Nutrición y Dietética,"200I",M
BIOG1025       ,INTRODUCCIÓN A LAS HERRAMIENTAS ÓMICAS,G,R,Biología,"400I",M
BIOG1026       ,INVESTIGACIÓN EN CIENCIAS DE LA VIDA,G,R,Biología,"200II",M
BIOG1026       ,INVESTIGACIÓN EN CIENCIAS DE LA VIDA,G,R,Nutrición y Dietética,"200II",M
BIOG1027       ,MATERIA INTEGRADORA DE BIOLOGÍA,T,T,Biología,"400II",M
BIOG1028       ,MICROBIOLOGÍA GENERAL,G,R,Biología,"200II",M
BIOG1028       ,MICROBIOLOGÍA GENERAL,G,R,Ingeniería Agrícola y Biológica,"200II",M
BIOG1028       ,MICROBIOLOGÍA GENERAL,G,R,Nutrición y Dietética,"200II",M
BIOG1029       ,VIROLOGÍA,G,R,Biología,"300II",M
BIOG1030       ,BIOINFORMÁTICA,G,T,Biología,"300II",M
