"CODIGOMATERIA","MATERIA","DIFICULTAD"
INDG1037       ,GESTIÓN DE LA CADENA DE SUMINISTRO SOSTENIBLE,7.44
INDG1039       ,INGENIERÍA DE MÉTODOS,8.01
INDG1040       ,INTRODUCCIÓN A LA INGENIERÍA INDUSTRIAL,7.94
INDG1041       ,INVESTIGACIÓN DE OPERACIONES,7.10
INDG1042       ,LOGÍSTICA Y SERVICIO AL CLIENTE,7.53
INDG1043       ,MATERIA INTEGRADORA DE INGENIERÍA INDUSTRIAL,8.15
INDG1044       ,METODOLOGÍAS PARA LA MEJORA CONTINUA,7.98
INDG1045       ,MODELOS ESTOCÁSTICOS PARA MANUFACTURA Y SERVICIOS,7.36
INDG1046       ,MÉTODOS DE ANALÍTICA PARA LA INDUSTRIA,8.50
INDG1047       ,PLANIFICACIÓN DE LA PRODUCCIÓN,7.23
INDG1048       ,PROYECTOS INDUSTRIALES,8.23
INDG1051       ,PROGRAMACIÓN ENTERA PARA INGENIERÍA,7.45
INDG1052       ,SIMULACIÓN,7.95
INDG1053       ,SISTEMAS DE CONTROL DE PRODUCCIÓN,6.67
INDG1054       ,SEGURIDAD Y SALUD OCUPACIONAL,8.28
INDG1055       ,PROCESOS INDUSTRIALES,8.10
INDG1056       ,PRONÓSTICO Y CONTROL DE INVENTARIO,6.81
INDG1057       ,INGENIERÍA DE LA CALIDAD,7.81
INDG1058       ,SISTEMAS Y PROGRAMACIÓN DE PRODUCCIÓN,8.01
INDG1060       ,ADMINISTRACIÓN LOGÍSTICA,8.01
INDG1061       ,HSEQ EN LA INDUSTRIA HIDROCARBURÍFERA,8.98
INDG1801       ,ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,7.06
INDT3002       ,SEGURIDAD Y SALUD OCUPACIONAL,8.83
JURG2004       ,DERECHO ECONÓMICO,8.07
JURG2005       ,DERECHO SOCIETARIO Y LABORAL,8.81
JURG2006       ,DERECHO TRIBUTARIO,8.38
LOGG1016       ,TRANSPORTE MULTIMODAL,8.93
LOGG1017       ,LOGÍSTICA I,7.46
LOGG1018       ,LOGÍSTICA II,7.46
LOGG1019       ,SISTEMAS DE TRANSPORTE,7.69
LOGG1020       ,MODELIZACIÓN DEL TRANSPORTE,6.35
LOGG1021       ,GESTIÓN DE BODEGAS Y ABASTECIMIENTO,7.23
LOGG1022       ,TRANSPORTE URBANO,7.00
LOGG1023       ,PRESUPUESTOS Y PROYECTOS LOGÍSTICOS,7.23
LOGG1024       ,INGENIERÍA DE TRÁNSITO,6.79
LOGG1027       ,MATERIA INTEGRADORA DE LOGÍSTICA Y TRANSPORTE,7.94
LOGT3002       ,INGRESO Y SALIDA DE NAVES,9.26
LOGT3005       ,TRANSPORTE MULTIMODAL,8.71
LOGT3006       ,CIENCIAS NÁUTICAS,9.90
LOGT3007       ,SEGURIDAD MARÍTIMA,8.94
LOGT3009       ,GESTIÓN MARÍTIMA PORTUARIA,8.58
LOGT3010       ,TRANSPORTE MARÍTIMO,8.67
LOGT3011       ,OPERACIONES Y SERVICIOS PORTUARIOS,9.50
LOGT3012       ,TRÁFICO MARÍTIMO,7.54
LOGT3013       ,LOGÍSTICA PORTUARIA,8.59
LOGT3014       ,MATERIA INTEGRADORA DE TECNOLOGÍA EN LOGÍSTICA PORTUARIA,8.59
MATG1045       ,CÁLCULO DE UNA VARIABLE,5.77
MATG1046       ,CÁLCULO VECTORIAL,6.14
MATG1047       ,CÁLCULO DE VARIAS VARIABLES,6.63
MATG1048       ,ECUACIONES DIFERENCIALES Y ÁLGEBRA LINEAL,6.83
MATG1049       ,ÁLGEBRA LINEAL,6.09
MATG1050       ,ECUACIONES DIFERENCIALES,6.19
MATG1051       ,MATEMÁTICAS DISCRETAS,5.56
MATG1052       ,MÉTODOS NUMÉRICOS,7.45
MATG1053       ,MATEMÁTICA APLICADA A LA INGENIERÍA,6.97
MATG1054       ,MATEMÁTICAS SUPERIORES,7.21
MATG1055       ,MATEMÁTICAS AVANZADAS,8.19
MATG1056       ,INTRODUCCIÓN AL RAZONAMIENTO MATEMÁTICO,6.18
MATG1057       ,OPTIMIZACIÓN LINEAL,7.35
MATG1058       ,OPTIMIZACIÓN NUMÉRICA,6.92
MATG1059       ,OPTIMIZACIÓN COMBINATORIA,7.53
MATG1060       ,OPTIMIZACIÓN NO LINEAL Y ESTOCÁSTICA,8.32
MATG1061       ,METAHEURÍSTICAS,6.97
MATG1062       ,GEOMETRÍA AXIOMÁTICA,6.32
MATG1063       ,CÁLCULO I,6.24
MATG1064       ,CÁLCULO II,6.10
MATG1065       ,ANÁLISIS DISCRETO,6.25
MATG1066       ,ÁLGEBRA LINEAL I,5.76
MATG1067       ,ÁLGEBRA LINEAL II,7.21
MATG1068       ,ECUACIONES DIFERENCIALES I,6.40
MATG1069       ,ECUACIONES DIFERENCIALES II,7.88
MATG1070       ,ANÁLISIS MATEMÁTICO I,6.54
MATG1071       ,ANÁLISIS MATEMÁTICO II,6.71
MATG1072       ,FUNDAMENTOS DE OPTIMIZACIÓN,7.75
MATG1073       ,ESTRUCTURAS ALGEBRAICAS,5.58
MATG1074       ,TOPOLOGÍA,7.66
MATG1075       ,MÉTODOS MATEMÁTICOS PARA LAS CIENCIAS,7.60
MATG1076       ,ANÁLISIS NUMÉRICO,6.83
MATG1077       ,TEORÍA DE LA MEDIDA,6.54
MATG1078       ,ANÁLISIS COMPLEJO,5.96
MATG1079       ,ANÁLISIS FUNCIONAL,6.94
MATG1080       ,GEOMETRÍA DIFERENCIAL,7.95
MATG1082       ,ELEMENTOS DE COMPUTACIÓN CIENTÍFICA,8.08
MATG1086       ,MATERIA INTEGRADORA DE MATEMÁTICA,9.01
MATG1801       ,CÁLCULO DE UNA VARIABLE,5.90
MATG1802       ,CÁLCULO VECTORIAL,7.45
MATG1803       ,ÁLGEBRA LINEAL,5.99
MATG2007       ,MATEMÁTICAS,6.88
MATG2008       ,MATEMÁTICAS FINANCIERAS,6.03
MATG2009       ,MATEMÁTICAS,7.03
MATT3002       ,MATEMÁTICAS,7.63
MCTG1011       ,ACTUADORES MECATRÓNICOS,8.72
MCTG1012       ,DISEÑO DE ELEMENTOS DE MÁQUINAS,6.60
MCTG1013       ,DISEÑO MECATRÓNICO,7.46
MCTG1014       ,DISEÑO Y MANUFACTURA ASISTIDA POR COMPUTADORA,8.28
MCTG1015       ,DISEÑO Y SIMULACIÓN DE MÁQUINAS,8.30
MCTG1016       ,HIDRÁULICA Y NEUMÁTICA,8.68
MCTG1017       ,INTRODUCCIÓN A LA MANUFACTURA,8.02
MCTG1018       ,INTRODUCCIÓN A LA MECATRÓNICA,8.13
MCTG1019       ,SISTEMAS BIOMECATRÓNICOS,7.67
MCTG1020       ,SISTEMAS FLEXIBLES DE MANUFACTURA,7.72
MCTG1021       ,ROBOTS MÓVILES Y ARTICULADOS,7.56
MCTG1022       ,SISTEMAS DE MONITOREO Y CONTROL INDUSTRIAL,8.63
MCTG1028       ,MATERIA INTEGRADORA DE MECATRÓNICA,8.69
MCTT3011       ,OLEOHIDRÁULICA Y NEUMÁTICA,7.64
MCTT3014       ,MANTENIMIENTO,9.16
MCTT3015       ,MONTAJE,9.38
MCTT3017       ,MATERIA INTEGRADORA DE TECNOLOGÍA,8.46
MECG1041       ,DIBUJO PARA INGENIERÍA,7.16
MECG1042       ,DINÁMICA,6.76
MECG1043       ,DISEÑO DE SISTEMAS MECÁNICOS,7.53
MECG1044       ,DISEÑO DE SISTEMAS TERMOFLUIDOS,7.46
MECG1045       ,DISEÑO MECÁNICO,7.23
MECG1046       ,INSTRUMENTACIÓN,6.90
MECG1047       ,INTRODUCCIÓN A LA INGENIERÍA MECÁNICA,8.07
MECG1048       ,MANTENIMIENTO INDUSTRIAL,7.99
MECG1049       ,MECÁNICA DE FLUIDOS,6.71
MECG1050       ,MECÁNICA DE SÓLIDOS,6.86
MECG1051       ,MECÁNICA DE MAQUINARIA,6.45
MECG1052       ,MECÁNICA VECTORIAL,6.46
MECG1053       ,PROCESOS DE MANUFACTURA,6.95
MECG1054       ,TERMOFLUIDOS,7.09
MECG1055       ,SISTEMAS DE CONTROL APLICADOS,6.71
MECG1056       ,TURBOMAQUINARIA Y PLANTAS DE POTENCIA,6.67
MECG1057       ,PROCESOS DE MECANIZACIÓN,7.32
MECG1058       ,TRANSFERENCIA DE CALOR,6.45
MECG1059       ,TALLER MECÁNICO,7.79
MECG1060       ,ESTÁTICA,7.42
MECG1061       ,TERMODINÁMICA,7.30
MECG1064       ,TERMODINÁMICA I,7.48
MECG1065       ,TERMODINÁMICA II,7.02
MECG1066       ,MATERIA INTEGRADORA DE MECÁNICA,8.54
MECG1067       ,REOLOGÍA DE FLUIDOS,7.24
MECG1068       ,TRANSFERENCIA DE CALOR Y MASA,7.27
MECT3001       ,PROCESOS DE MANUFACTURA,8.33
MECT3002       ,ENSAMBLAJE,7.49
MECT3003       ,DIBUJO TÉCNICO,8.35
MECT3004       ,TALLER BÁSICO,8.06
MECT3005       ,ELEMENTOS DE MÁQUINAS,8.43
MEDG1015       ,BIOGEOGRAFÍA,9.54
MEDG1017       ,BOTÁNICA GENERAL,7.40
MEDG1018       ,BOTÁNICA SISTEMÁTICA,8.47
MEDG1019       ,EMBRIOLOGÍA,8.65
MEDG1020       ,ENTOMOLOGÍA,8.62
MEDG1021       ,EVOLUCIÓN,8.85
MEDG1022       ,GENOTECNIA,8.49
MEDG1023       ,GENÉTICA,9.61
MEDG1024       ,INMUNOLOGÍA,7.58
MEDG1025       ,ZOOLOGÍA DE VERTEBRADOS,8.78
MEDG1026       ,ZOOLOGÍA DE INVERTEBRADOS,8.46
MEDG2012       ,ANTROPOLOGÍA NUTRICIONAL,8.27
MEDG2013       ,ANÁLISIS NUTRICIONAL DE LOS ALIMENTOS,7.60
MEDG2014       ,CONSEJERÍA NUTRICIONAL,8.09
MEDG2015       ,EPIDEMIOLOGÍA Y SALUD PÚBLICA,9.32
MEDG2016       ,FARMACOLOGÍA Y NUTRICIÓN,8.50
MEDG2017       ,LEGISLACIÓN Y SOBERANÍA ALIMENTARIA,7.02
MEDG2018       ,MORFOFISIOLOGÍA HUMANA I,8.71
MEDG2019       ,MORFOFISIOLOGÍA HUMANA II,8.25
MEDG2020       ,SALUD COMUNITARIA,8.50
MING1023       ,AMBIENTE Y GESTIÓN DE RESIDUOS MINEROS,8.26
MING1024       ,EXPLOTACIÓN SUBTERRÁNEA,8.08
MING1025       ,FUNDAMENTOS DE MINERÍA,8.06
MING1026       ,GEOMÁTICA MINERA,7.06
MING1027       ,GEOTECNIA MINERA,7.50
MING1029       ,MINERALURGIA Y METALURGIA EXTRACTIVA,7.43
MING1030       ,PERFORACIÓN Y VOLADURA,8.57
MING1031       ,PLANEAMIENTO Y DISEÑO MINERO,8.08
MING1032       ,"VENTILACIÓN, DRENAJE Y SISTEMAS ELÉCTRICOS",8.47
MING1033       ,TOPOGRAFÍA MINERA,8.05
MING1034       ,GEOLOGÍA MINERA,8.64
MING1035       ,GEOMECÁNICA,7.55
MING1036       ,PETROGRAFÍA,8.75
MING1037       ,SEGURIDAD MINERA,8.60
MING1038       ,TECNOLOGÍA DE EQUIPAMIENTOS MINEROS,8.63
MING1039       ,MATERIA INTEGRADORA DE MINAS,8.17
MING1040       ,EXPLOTACIÓN A CIELO ABIERTO,8.61
MING1041       ,PREPARACIÓN MECÁNICA,7.08
MTRG1023       ,ANÁLISIS DE FALLAS Y SELECCIÓN DE MATERIALES,7.83
MTRG1024       ,CIENCIA E INGENIERÍA DE MATERIALES,7.42
MTRG1025       ,COMPORTAMIENTO MECÁNICO,6.80
MTRG1026       ,CORROSIÓN Y DEGRADACIÓN DE MATERIALES,7.30
MTRG1027       ,DISEÑO DE MATERIALES COMPUESTOS,7.63
MTRG1028       ,ESTRUCTURA Y CARACTERIZACIÓN DE MATERIALES,7.60
MTRG1029       ,INGENIERÍA DE CERÁMICOS,7.45
MTRG1030       ,INGENIERÍA DE METALES,7.71
MTRG1031       ,INGENIERÍA DE POLÍMEROS,8.77
MTRG1032       ,INTRODUCCIÓN A LA INGENIERÍA EN MATERIALES,7.81
MTRG1034       ,MATERIA INTEGRADORA DE MATERIALES,8.18
MTRG1036       ,SOLDADURA Y ENSAYOS NO DESTRUCTIVOS,7.83
MTRG1037       ,PROPIEDADES  FUNCIONALES DE LOS  MATERIALES,6.59
MTRG1038       ,SÍNTESIS DE MATERIALES,7.44
MTRG1039       ,TRANSFORMACIONES DE FASES,6.71
MTRG1040       ,TERMODINÁMICA DE MATERIALES,6.92
MTRG1041       ,NANOTECNOLOGÍA Y NANOMATERIALES,7.29
NAVG1025       ,CONSTRUCCIONES METÁLICAS DE BUQUES,7.55
NAVG1027       ,DINÁMICA DEL BUQUE,6.93
NAVG1028       ,DISEÑO DE BUQUES,6.61
NAVG1029       ,ELECTRICIDAD Y ELECTRÓNICA PARA BUQUES,8.65
NAVG1030       ,ESTABILIDAD DEL BUQUE,5.85
NAVG1031       ,ESTRUCTURA DEL BUQUE,4.92
NAVG1032       ,FORMAS E HIDROSTÁTICA DEL BUQUE,5.12
NAVG1033       ,GESTIÓN MARÍTIMA PORTUARIA,6.29
NAVG1034       ,MATERIA INTEGRADORA DE INGENIERÍA NAVAL,8.76
NAVG1035       ,TRANSPORTE MARÍTIMO,8.03
NAVG1037       ,MAQUINARIA MARÍTIMA II,7.07
NAVG1038       ,RESISTENCIA Y PROPULSIÓN DE BUQUES,6.04
NAVG1039       ,MAQUINARIA MARÍTIMA I,7.10
NAVG1040       ,MATERIALES EN MEDIOS MARINOS,6.45
NAVG1041       ,VIBRACIONES MECÁNICAS,5.52
NAVG1042       ,ELEMENTOS FINITOS,6.91
NAVT3001       ,SISTEMAS PORTUARIOS,7.20
NAVT3002       ,INTRODUCCIÓN A LA LOGÍSTICA PORTUARIA,7.85
NAVT3003       ,ESTRUCTURA DE BUQUES,9.07
NUTG2026       ,BIOÉTICA,8.69
NUTG2027       ,DIETOTERAPIA AVANZADA,8.36
NUTG2028       ,DIETOTERAPIA BÁSICA,8.68
NUTG2029       ,EVALUACIÓN DEL ESTADO NUTRICIONAL I,8.31
NUTG2030       ,EVALUACIÓN DEL ESTADO NUTRICIONAL II,8.04
NUTG2031       ,MATERIA INTEGRADORA DE NUTRICIÓN Y DIETÉTICA,8.61
NUTG2032       ,NUTRICIÓN CLÍNICA I,7.51
NUTG2033       ,NUTRICIÓN CLÍNICA II,7.76
NUTG2034       ,NUTRICIÓN CLÍNICA III,8.77
NUTG2035       ,NUTRICIÓN DEPORTIVA,8.05
NUTG2036       ,NUTRICIÓN EN EL CICLO DE LA VIDA I,7.53
NUTG2037       ,NUTRICIÓN EN EL CICLO DE LA VIDA II,7.96
NUTG2038       ,TENDENCIAS EN NUTRICIÓN,8.90
NUTG2039       ,SERVICIOS DE ALIMENTACIÓN,7.23
NUTG2040       ,TOXICOLOGÍA NUTRICIONAL Y ALIMENTARIA,8.66
NUTG2041       ,NUTRICIÓN HUMANA Y METABOLISMO,8.17
NUTG2042       ,TÉCNICAS DIETÉTICAS,7.19
NUTG2043       ,TÉCNICAS CULINARIAS,7.15
OCEG1028       ,ANÁLISIS DE INFORMACIÓN OCEANOGRÁFICA,8.16
OCEG1029       ,BIOGEOQUÍMICA MARINA,7.87
OCEG1030       ,CLIMATOLOGÍA Y METEOROLOGÍA,7.20
OCEG1031       ,CONSTRUCCIÓN DE OBRAS PORTUARIAS,8.43
OCEG1032       ,CONTAMINACIÓN MARINA,8.49
OCEG1033       ,DIMENSIONAMIENTO PORTUARIO,8.32
OCEG1034       ,DISEÑO COSTERO,8.14
OCEG1035       ,FUNDAMENTOS DE INGENIERÍA OCEANOGRÁFICA,7.41
OCEG1036       ,GEOLOGÍA MARINA,8.75
OCEG1037       ,GESTIÓN DE DRAGADOS,7.37
OCEG1038       ,GESTIÓN DE ZONAS MARINO-COSTERAS,7.92
OCEG1039       ,IMPACTO AMBIENTAL MARINO-COSTERO,8.01
OCEG1040       ,PLANIFICACIÓN DE DRAGADOS,6.99
OCEG1043       ,MATERIA INTEGRADORA DE OCEANOGRAFÍA,8.87
OCEG1044       ,TÉCNICAS DE MANEJO COSTERO,7.91
OCEG1045       ,PLANIFICACIÓN Y CONSTRUCCIÓN,6.55
OCEG1046       ,PROCESOS ESTUARINOS,7.84
OCEG1047       ,MODELAJE COSTERO,8.21
OCEG1048       ,OCEANOGRAFÍA COSTERA,7.08
OCEG1049       ,ONDAS MARINAS,7.83
OCEG1050       ,OCEANOGRAFÍA FÍSICA,7.77
OCEG1051       ,OCEANOGRAFÍA DESCRIPTIVA,7.34
OCET3002       ,OCEANOGRAFÍA,8.10
PETG1020       ,COMPLETACIÓN Y REACONDICIONAMIENTO DE POZOS,8.00
PETG1021       ,INGENIERÍA DE PRODUCCIÓN I,8.06
PETG1022       ,INGENIERÍA DE PRODUCCIÓN II,8.14
PETG1023       ,INGENIERÍA DE YACIMIENTOS I,7.12
PETG1024       ,INGENIERÍA DE YACIMIENTOS II,7.36
PETG1025       ,PERFORACIÓN,7.59
PETG1026       ,PERFORACIÓN DIRECCIONAL,8.78
PETG1027       ,PETROFÍSICA,6.85
PETG1028       ,SIMULACIÓN DE RESERVORIOS,7.63
PETG1030       ,EVALUACIÓN DE FORMACIONES I,7.79
PETG1031       ,PROPIEDADES DE HIDROCARBUROS Y COMPORTAMIENTO DE FASES,8.41
PETG1032       ,INTRODUCCIÓN A LA INDUSTRIA HIDROCARBURÍFERA,8.54
PETG1033       ,MATERIA INTEGRADORA PARA PETRÓLEOS,9.46
PETG1034       ,EVALUACIÓN DE FORMACIONES II,7.85
QUIG1032       ,QUÍMICA GENERAL,6.42
QUIG1033       ,QUÍMICA INORGÁNICA,7.59
QUIG1034       ,FISICOQUÍMICA,7.75
QUIG1035       ,QUÍMICA ORGÁNICA,7.30
QUIG1036       ,QUÍMICA ORGÁNICA I,6.99
QUIG1037       ,BALANCE DE MATERIA Y ENERGÍA,6.39
QUIG1038       ,QUÍMICA ORGÁNICA II,7.30
QUIG1039       ,FENÓMENOS DE TRANSPORTE DE MOMENTUM,7.40
QUIG1040       ,QUÍMICA ANALÍTICA E INSTRUMENTAL,6.85
QUIG1041       ,FENÓMENOS DE TRANSPORTE DE CALOR,7.41
QUIG1042       ,FENÓMENOS DE TRANSPORTE DE MASA,6.97
QUIG1043       ,CINÉTICA Y REACTORES,7.03
QUIG1044       ,OPERACIONES UNITARIAS I,7.27
QUIG1045       ,OPERACIONES UNITARIAS II,7.44
QUIG1046       ,DINÁMICA DE PROCESOS Y CONTROL,7.36
QUIG1047       ,DISEÑO DE PLANTAS,7.64
QUIG1050       ,MATERIA INTEGRADORA DE INGENIERÍA QUÍMICA,8.92
SOFG1006       ,DESARROLLO DE APLICACIONES WEB Y MÓVILES,7.71
SOFG1007       ,INGENIERÍA DE SOFTWARE I,8.03
SOFG1008       ,INGENIERÍA DE SOFTWARE II,7.54
SOFG1009       ,LENGUAJES DE PROGRAMACIÓN,7.96
TELG1027       ,CIRCUITOS DE ALTA FRECUENCIA Y MICROONDAS,7.02
TELG1028       ,COMUNICACIONES INALÁMBRICAS,7.23
TELG1029       ,DISEÑO DE APLICACIONES EN TELECOMUNICACIONES,7.93
TELG1030       ,DISEÑO DE REDES CONMUTADAS,7.02
TELG1031       ,FIBRAS ÓPTICAS,8.24
TELG1032       ,INTRODUCCIÓN A LAS TELECOMUNICACIONES,6.97
TELG1033       ,MATERIA INTEGRADORA DE TELECOMUNICACIONES,8.96
TELG1034       ,PROCESAMIENTO DIGITAL DE SEÑALES,7.94
TELG1035       ,PROPAGACIÓN,7.63
TELG1037       ,SEÑALES Y SISTEMAS,6.66
TELG1038       ,SISTEMAS DE COMUNICACIONES I,7.02
TELG1039       ,SISTEMAS DE COMUNICACIONES II,7.26
TELG1040       ,SISTEMAS DE REDES,8.06
TELG1042       ,TRANSMISIÓN DE SERVICIOS MULTIMEDIA,7.85
TICG1018       ,SISTEMA DE BASES DE DATOS,6.91
TICG1802       ,SISTEMA DE BASES DE DATOS,8.25
TLMG1022       ,ADMINISTRACIÓN DE SISTEMAS Y SERVICIOS EN RED,7.32
TLMG1025       ,CALIDAD DE SERVICIO Y REDES MULTIMEDIA,8.27
TLMG1026       ,CIBERSEGURIDAD Y GESTIÓN DE REDES,8.28
TLMG1027       ,COMUNICACIÓN DIGITAL DE DATOS,7.85
TLMG1028       ,EVALUACIÓN Y SIMULACIÓN DE REDES,7.14
TLMG1029       ,GESTIÓN DE INFRAESTRUCTURA Y SERVICIOS TI,8.58
TLMG1030       ,INTERNETWORKING,7.62
TLMG1031       ,MATERIA INTEGRADORA DE TELEMÁTICA,8.65
TLMG1032       ,REDES DE DATOS,7.96
TLMG1033       ,REDES INALÁMBRICAS Y DE SENSORES,8.08
TLMG1034       ,SISTEMAS EN LA NUBE,7.42
TLMG1035       ,TELEMETRÍA Y SISTEMAS CIBERFÍSICOS,7.90
TLMG1036       ,TELEMÁTICA Y TRANSFORMACIÓN DIGITAL,7.61
TLMG1037       ,PROGRAMACIÓN DE SISTEMAS TELEMÁTICOS,8.13
TURG2018       ,AGENCIAS DE VIAJE,7.54
TURG2019       ,ALIMENTOS Y BEBIDAS,7.43
TURG2020       ,CONGRESOS Y EVENTOS,9.01
TURG2021       ,CONSERVACIÓN Y MANEJO AMBIENTAL EN TURISMO,8.54
TURG2022       ,DERECHO TURÍSTICO Y AMBIENTAL,7.49
TURG2023       ,DESARROLLO SOSTENIBLE DEL TURISMO,8.64
TURG2024       ,FUNDAMENTOS DE PLANIFICACIÓN TURÍSTICA,6.06
TURG2029       ,MATERIA INTEGRADORA DE TURISMO,8.88
TURG2030       ,GESTIÓN HOTELERA,7.93
TURG2031       ,MARKETING TURÍSTICO,7.46
TURG2032       ,MÉTODOS DE INVESTIGACIÓN EN TURISMO,7.74
TURG2033       ,PLANIFICACIÓN DE ESPACIOS TURÍSTICOS,7.46
TURG2034       ,PATRIMONIO NATURAL Y CULTURAL,8.07
TURG2035       ,GEOGRAFÍA TURÍSTICA,6.47
TURG2036       ,TEORÍA DEL TURISMO,7.49
TURG2037       ,OPERACIÓN TURÍSTICA,7.90
