"CODIGOMATERIA","MATERIA","DIFICULTAD"
ALIG1047       ,SANIDAD E HIGIENE ALIMENTARIA,7.64
ALIG1050       ,QUÍMICA ALIMENTARIA,7.44
ARQG2020       ,ANTROPOLOGÍA BIOLÓGICA,7.04
ARQG2021       ,ARQUEOLOGÍA DE MESOAMÉRICA,7.93
ARQG2022       ,BIOARQUEOLOGÍA,7.76
ARQG2023       ,PROYECTOS DE INVESTIGACIÓN ARQUEOLÓGICA,8.05
ARQG2024       ,MATERIA INTEGRADORA EN ARQUEOLOGÍA,8.05
ARQG2025       ,ARQUEOLOGÍA DEL ECUADOR II,7.07
ARQG2026       ,LABORATORIO DE ARQUEOLOGÍA II,8.63
ARQG2028       ,CAMPO DE ANTROPOLOGÍA SOCIOCULTURAL II,7.79
ARQG2029       ,LABORATORIO DE ARQUEOLOGÍA I,8.51
ARQG2030       ,CAMPO DE ARQUEOLOGÍA I,8.16
ARQG2031       ,ARQUEOLOGÍA ANDINOAMERICANA,7.29
ARQG2032       ,ARQUEOLOGÍA DE LAS TIERRAS BAJAS DE SUDAMÉRICA Y DEL CARIBE,7.90
ARQG2033       ,ARQUEOLOGÍA DEL ECUADOR I,7.32
ARQG2034       ,ARQUEOLOGÍA DEL VIEJO MUNDO,7.23
ARQG2035       ,ARQUEOLOGÍA SOCIAL LATINOAMERICANA,7.62
ARQG2036       ,CAMPO DE ANTROPOLOGÍA SOCIOCULTURAL I,7.69
ARQG2037       ,ORÍGENES DE LOS ESTADOS PREHISPÁNICOS,8.28
ARQG2038       ,PRIMER POBLAMIENTO AMERICANO,6.55
ARQG2039       ,TEORÍA ANTROPOLÓGICA Y ARQUEOLÓGICA,7.20
ARQG2040       ,GEOMÁTICA,7.65
ARQG2041       ,GEOGRAFÍA FÍSICA,7.80
ARQG2042       ,INTRODUCCIÓN A LA ANTROPOLOGÍA Y ARQUEOLOGÍA,7.80
ARQG2043       ,CAMPO DE ARQUEOLOGÍA II,8.63
ARTG2023       ,ARTE Y CIENCIA,8.51
ARTG2024       ,ARTE Y TECNOLOGÍA,8.54
ARTG2025       ,DIBUJO  I,7.90
ARTG2026       ,DIBUJO II,7.15
ARTG2028       ,HISTORIA DEL ARTE,7.83
ARTG2029       ,HISTORIA DEL CINE,6.96
