"CODIGOMATERIA","MATERIA","REPROBADOS","REGISTRADOS","TASA_RP"
MEDG2013       ,ANÁLISIS NUTRICIONAL DE LOS ALIMENTOS,19,355,5.35
MEDG2014       ,CONSEJERÍA NUTRICIONAL,3,238,1.26
MEDG2015       ,EPIDEMIOLOGÍA Y SALUD PÚBLICA,0,282,0.00
MEDG2016       ,FARMACOLOGÍA Y NUTRICIÓN,2,351,0.57
MEDG2017       ,LEGISLACIÓN Y SOBERANÍA ALIMENTARIA,47,465,10.11
MEDG2018       ,MORFOFISIOLOGÍA HUMANA I,7,389,1.80
MEDG2019       ,MORFOFISIOLOGÍA HUMANA II,11,356,3.09
MEDG2020       ,SALUD COMUNITARIA,4,288,1.39
MING1023       ,AMBIENTE Y GESTIÓN DE RESIDUOS MINEROS,0,65,0.00
MING1024       ,EXPLOTACIÓN SUBTERRÁNEA,1,44,2.27
MING1025       ,FUNDAMENTOS DE MINERÍA,2,51,3.92
MING1026       ,GEOMÁTICA MINERA,3,24,12.50
MING1027       ,GEOTECNIA MINERA,2,43,4.65
MING1029       ,MINERALURGIA Y METALURGIA EXTRACTIVA,1,49,2.04
MING1030       ,PERFORACIÓN Y VOLADURA,1,48,2.08
MING1031       ,PLANEAMIENTO Y DISEÑO MINERO,0,64,0.00
MING1032       ,"VENTILACIÓN, DRENAJE Y SISTEMAS ELÉCTRICOS",0,50,0.00
MING1033       ,TOPOGRAFÍA MINERA,3,41,7.32
MING1034       ,GEOLOGÍA MINERA,0,51,0.00
MING1035       ,GEOMECÁNICA,3,38,7.89
MING1036       ,PETROGRAFÍA,1,49,2.04
MING1037       ,SEGURIDAD MINERA,0,35,0.00
MING1038       ,TECNOLOGÍA DE EQUIPAMIENTOS MINEROS,1,40,2.50
MING1039       ,MATERIA INTEGRADORA DE MINAS,8,71,11.27
MING1040       ,EXPLOTACIÓN A CIELO ABIERTO,0,53,0.00
MING1041       ,PREPARACIÓN MECÁNICA,1,32,3.13
