COD_ESTUDIANTE,COD_MATERIA_ACAD_MO,ESTADO_MAT_TOMADA_MO,VEZ_TOMADA_MO,NOTA1_MO,NOTA2MO,PROMEDIO_MO,DIFICULTAD_MO,T_MAT_TOMADAS,PROM_1PARCIAL,PROM_2PARCIAL,PROM_CALIFICACIONES,MAT_APROBADAS,PROM_CALIF_APROBADAS,TERMINOS_REGISTRADOS,PERDIO_CARRERA,PROM_MAT_REPROBADAS1,PROM_MAT_REPROBADAS2,PROM_MAT_REPROBADAS3,MUY_FACIL,FACIL,MODERADA,DIFICIL,MUY_DIFICIL,GPA_ULTIMO,CODIGOMATERIA,MATERIA
201906559,ACUG1035,AP,1,94,89,"9,15","7,90",42.0,83.0,83.0,"8,62",42.0,"8,62",10.0,N,,,,1,0,1,0,0,,ACUG1035,ACUICULTURA ORNAMENTAL
202105417,ACUG1036,AP,1,90,89,"9,02","6,74",27.0,73.0,76.0,"7,64",26.0,"7,71",7.0,N,"5,95",,,0,0,1,2,2,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
202105854,ACUG1036,AP,1,62,63,"6,89","6,74",25.0,64.0,66.0,"7,07",23.0,"7,20",6.0,N,"5,59",,,0,0,1,0,4,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
202110706,ACUG1036,AP,1,82,81,"8,37","6,74",20.0,74.0,78.0,"7,87",19.0,"7,99",6.0,N,"5,65",,,0,0,0,2,2,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
201708047,ACUG1036,AP,1,69,54,"6,55","6,74",45.0,57.0,58.0,"6,09",31.0,"7,15",13.0,N,"3,25","5,49",,0,0,1,2,1,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
201904786,ACUG1036,AP,1,82,85,"8,51","6,74",29.0,64.0,65.0,"6,95",24.0,"7,60",9.0,N,"3,40","5,48",,0,0,0,3,2,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
201401548,ACUG1039,AP,1,82,80,"8,61","8,32",41.0,59.0,67.0,"7,00",32.0,"7,92",12.0,N,"3,63","5,09",,0,2,0,1,1,,ACUG1039,CULTIVO DE ESPECIES NO TRADICIONALES
202001186,ACUG1039,AP,1,82,87,"8,73","8,32",33.0,84.0,78.0,"8,42",33.0,"8,42",8.0,N,,,,0,1,1,0,0,,ACUG1039,CULTIVO DE ESPECIES NO TRADICIONALES
201802832,ACUG1039,AP,1,78,76,"8,24","8,32",54.0,69.0,70.0,"7,36",50.0,"7,63",13.0,N,"4,00",,,0,2,0,1,0,,ACUG1039,CULTIVO DE ESPECIES NO TRADICIONALES
201807286,ACUG1040,AP,1,69,49,"6,05","7,88",44.0,61.0,55.0,"6,20",31.0,"7,43",11.0,N,"3,10","5,14",,0,0,1,3,0,,ACUG1040,CULTIVO DE PLANCTON
202108007,ACUG1040,AP,1,75,44,"6,17","7,88",15.0,64.0,58.0,"6,66",13.0,"7,20",5.0,S,"3,13",,,0,0,1,0,3,,ACUG1040,CULTIVO DE PLANCTON
201611571,ACUG1040,AP,1,92,51,"7,73","7,88",44.0,63.0,67.0,"7,01",35.0,"7,46",11.0,N,"5,34","4,40",,0,0,2,0,2,,ACUG1040,CULTIVO DE PLANCTON
202105417,ACUG1040,AP,1,75,57,"8,31","7,88",27.0,73.0,76.0,"7,64",26.0,"7,71",7.0,N,"5,95",,,0,0,1,2,2,,ACUG1040,CULTIVO DE PLANCTON
202105854,ACUG1040,AP,1,75,86,"8,33","7,88",25.0,64.0,66.0,"7,07",23.0,"7,20",6.0,N,"5,59",,,0,0,1,0,4,,ACUG1040,CULTIVO DE PLANCTON
201902871,ACUG1040,AP,1,85,50,"7,66","7,88",41.0,72.0,67.0,"7,24",34.0,"8,08",12.0,N,"3,17",,,0,0,1,1,2,,ACUG1040,CULTIVO DE PLANCTON
201708047,ACUG1040,AP,1,73,52,"7,76","7,88",45.0,57.0,58.0,"6,09",31.0,"7,15",13.0,N,"3,25","5,49",,0,0,1,2,1,,ACUG1040,CULTIVO DE PLANCTON
201906625,ACUG1040,AP,1,74,47,"7,08","7,88",35.0,71.0,66.0,"7,10",30.0,"7,56",9.0,N,"4,34",,,0,0,3,0,1,,ACUG1040,CULTIVO DE PLANCTON
202106167,ACUG1040,AP,1,90,60,"7,92","7,88",25.0,80.0,83.0,"8,43",25.0,"8,43",6.0,N,,,,0,0,3,0,2,,ACUG1040,CULTIVO DE PLANCTON
201105723,ACUG1041,AP,1,84,76,"8,00","7,31",29.0,27.0,20.0,"2,65",7.0,"7,41",17.0,N,"1,05","1,10","1,53",0,0,0,1,3,,ACUG1041,ECOSISTEMAS ACUÍCOLAS
201905072,ACUG1041,AP,1,70,84,"7,70","7,31",30.0,53.0,46.0,"5,31",18.0,"6,91",9.0,N,"2,84","2,92",,0,0,0,3,2,,ACUG1041,ECOSISTEMAS ACUÍCOLAS
202213542,ACUG1041,AP,1,74,94,"8,40","7,31",9.0,69.0,71.0,"7,44",8.0,"7,90",3.0,N,"3,82",,,0,0,0,2,3,,ACUG1041,ECOSISTEMAS ACUÍCOLAS
202215976,ACUG1041,AP,1,71,75,"7,30","7,31",11.0,62.0,65.0,"6,93",8.0,"7,60",4.0,N,"5,14",,,0,0,0,2,3,,ACUG1041,ECOSISTEMAS ACUÍCOLAS
202105417,ACUG1041,AP,1,72,83,"7,75","7,31",27.0,73.0,76.0,"7,64",26.0,"7,71",7.0,N,"5,95",,,0,0,1,2,2,,ACUG1041,ECOSISTEMAS ACUÍCOLAS
202107439,ACUG1041,AP,1,68,62,"6,50","7,31",18.0,64.0,62.0,"6,63",15.0,"7,02",6.0,N,"4,44","5,19",,0,0,0,1,1,,ACUG1041,ECOSISTEMAS ACUÍCOLAS
202202479,ACUG1041,AP,1,71,63,"6,70","7,31",13.0,66.0,76.0,"7,60",12.0,"7,81",4.0,N,"5,11",,,0,0,0,3,1,,ACUG1041,ECOSISTEMAS ACUÍCOLAS
202213567,ACUG1041,AP,1,65,78,"7,15","7,31",7.0,57.0,67.0,"6,67",4.0,"8,14",3.0,N,"4,72",,,0,0,0,2,2,,ACUG1041,ECOSISTEMAS ACUÍCOLAS
202202255,ACUG1041,AP,1,66,62,"6,40","7,31",11.0,64.0,56.0,"6,71",9.0,"7,19",4.0,N,"4,65","4,45",,0,0,0,2,4,,ACUG1041,ECOSISTEMAS ACUÍCOLAS
201902871,ACUG1041,AP,1,79,63,"7,10","7,31",41.0,72.0,67.0,"7,24",34.0,"8,08",12.0,N,"3,17",,,0,0,1,1,2,,ACUG1041,ECOSISTEMAS ACUÍCOLAS
202210670,ACUG1041,AP,1,67,54,"6,05","7,31",8.0,60.0,60.0,"6,54",6.0,"7,39",3.0,N,"3,98",,,0,0,0,1,3,,ACUG1041,ECOSISTEMAS ACUÍCOLAS
201904786,ACUG1041,AP,1,78,79,"7,85","7,31",29.0,64.0,65.0,"6,95",24.0,"7,60",9.0,N,"3,40","5,48",,0,0,0,3,2,,ACUG1041,ECOSISTEMAS ACUÍCOLAS
202213617,ACUG1041,AP,1,89,76,"8,25","7,31",8.0,69.0,68.0,"7,07",5.0,"8,71",3.0,N,"4,35",,,0,0,0,2,2,,ACUG1041,ECOSISTEMAS ACUÍCOLAS
202001269,ACUG1042,AP,1,87,70,"8,04","7,24",21.0,70.0,66.0,"7,20",18.0,"7,49",7.0,N,"5,44",,,0,0,0,2,3,,ACUG1042,FUNDAMENTOS DE INGENIERÍA ACUÍCOLA
201905072,ACUG1042,AP,1,90,68,"8,53","7,24",30.0,53.0,46.0,"5,31",18.0,"6,91",9.0,N,"2,84","2,92",,0,0,0,3,2,,ACUG1042,FUNDAMENTOS DE INGENIERÍA ACUÍCOLA
202104378,ACUG1042,AP,1,86,70,"8,13","7,24",22.0,61.0,65.0,"6,91",18.0,"7,31",6.0,N,"5,31","4,67",,0,0,0,1,2,,ACUG1042,FUNDAMENTOS DE INGENIERÍA ACUÍCOLA
202202479,ACUG1042,AP,1,82,71,"8,35","7,24",13.0,66.0,76.0,"7,60",12.0,"7,81",4.0,N,"5,11",,,0,0,0,3,1,,ACUG1042,FUNDAMENTOS DE INGENIERÍA ACUÍCOLA
202110706,ACUG1042,AP,1,87,71,"8,05","7,24",20.0,74.0,78.0,"7,87",19.0,"7,99",6.0,N,"5,65",,,0,0,0,2,2,,ACUG1042,FUNDAMENTOS DE INGENIERÍA ACUÍCOLA
201900164,ACUG1042,AP,1,97,71,"8,79","7,24",32.0,57.0,53.0,"6,08",21.0,"7,28",9.0,N,"3,80","3,69",,0,0,0,1,1,,ACUG1042,FUNDAMENTOS DE INGENIERÍA ACUÍCOLA
201904786,ACUG1042,AP,1,85,71,"8,43","7,24",29.0,64.0,65.0,"6,95",24.0,"7,60",9.0,N,"3,40","5,48",,0,0,0,3,2,,ACUG1042,FUNDAMENTOS DE INGENIERÍA ACUÍCOLA
201807286,ACUG1043,AP,1,84,85,"8,49","7,55",44.0,61.0,55.0,"6,20",31.0,"7,43",11.0,N,"3,10","5,14",,0,0,1,3,0,,ACUG1043,HERRAMIENTAS PARA EL DIAGNÓSTICO DE ENFERMEDADES ACUÍCOLAS
201915162,ACUG1043,AP,1,94,91,"9,44","7,55",36.0,86.0,83.0,"8,66",35.0,"8,81",9.0,N,"3,50",,,0,0,1,1,0,,ACUG1043,HERRAMIENTAS PARA EL DIAGNÓSTICO DE ENFERMEDADES ACUÍCOLAS
201802832,ACUG1043,AP,1,90,97,"9,48","7,55",54.0,69.0,70.0,"7,36",50.0,"7,63",13.0,N,"4,00",,,0,2,0,1,0,,ACUG1043,HERRAMIENTAS PARA EL DIAGNÓSTICO DE ENFERMEDADES ACUÍCOLAS
201912565,ACUG1045,AP,1,77,84,"8,36","7,97",36.0,85.0,80.0,"8,38",36.0,"8,38",9.0,N,,,,0,0,2,0,0,,ACUG1045,PRODUCCIÓN ACUÍCOLA II
201906112,ACUG1045,AP,1,96,98,"9,76","7,97",47.0,86.0,83.0,"8,80",46.0,"8,87",11.0,N,"5,58",,,1,0,1,0,0,,ACUG1045,PRODUCCIÓN ACUÍCOLA II
202001400,ACUG1045,AP,1,92,95,"9,42","7,97",38.0,85.0,78.0,"8,40",38.0,"8,40",8.0,N,,,,1,0,1,0,0,,ACUG1045,PRODUCCIÓN ACUÍCOLA II
201700085,ACUG1045,AP,1,88,89,"8,98","7,97",52.0,68.0,64.0,"7,03",41.0,"8,02",12.0,N,"3,43","2,34",,1,0,1,0,0,,ACUG1045,PRODUCCIÓN ACUÍCOLA II
201914223,ACUG1045,AP,1,96,92,"9,46","7,97",41.0,84.0,81.0,"8,56",41.0,"8,56",9.0,N,,,,1,0,1,0,0,,ACUG1045,PRODUCCIÓN ACUÍCOLA II
202002440,ACUG1045,AP,1,72,88,"8,30","7,97",41.0,79.0,73.0,"7,91",41.0,"7,91",11.0,N,,,,1,0,1,0,0,,ACUG1045,PRODUCCIÓN ACUÍCOLA II
201700499,ACUG1045,AP,1,74,83,"8,19","7,97",57.0,69.0,67.0,"7,17",49.0,"7,60",14.0,N,"4,41","5,52",,1,0,2,0,0,,ACUG1045,PRODUCCIÓN ACUÍCOLA II
202001186,ACUG1045,AP,1,70,95,"8,74","7,97",33.0,84.0,78.0,"8,42",33.0,"8,42",8.0,N,,,,0,1,1,0,0,,ACUG1045,PRODUCCIÓN ACUÍCOLA II
201917168,ACUG1045,AP,1,96,95,"9,56","7,97",37.0,89.0,86.0,"9,07",37.0,"9,07",9.0,N,,,,1,0,1,0,0,,ACUG1045,PRODUCCIÓN ACUÍCOLA II
201401548,ACUG1046,AP,1,91,89,"9,27","8,20",41.0,59.0,67.0,"7,00",32.0,"7,92",12.0,N,"3,63","5,09",,0,2,0,1,1,,ACUG1046,PRODUCCIÓN ACUICOLA I
201802832,ACUG1046,AP,1,89,77,"8,66","8,20",54.0,69.0,70.0,"7,36",50.0,"7,63",13.0,N,"4,00",,,0,2,0,1,0,,ACUG1046,PRODUCCIÓN ACUICOLA I
201802832,ACUG1047,AP,1,89,87,"9,16","8,06",54.0,69.0,70.0,"7,36",50.0,"7,63",13.0,N,"4,00",,,0,2,0,1,0,,ACUG1047,PISCICULTURA
202003505,ACUG1048,AP,1,76,63,"7,51","7,90",34.0,80.0,73.0,"8,02",32.0,"8,22",9.0,N,"3,79","5,87",,0,0,1,1,1,,ACUG1048,SISTEMAS ACUÍCOLAS
202006334,ACUG1048,AP,1,80,35,"7,41","7,90",33.0,74.0,74.0,"7,73",31.0,"7,89",9.0,N,"5,68","4,84",,0,0,2,0,1,,ACUG1048,SISTEMAS ACUÍCOLAS
201906625,ACUG1048,AP,1,50,38,"6,30","7,90",35.0,71.0,66.0,"7,10",30.0,"7,56",9.0,N,"4,34",,,0,0,3,0,1,,ACUG1048,SISTEMAS ACUÍCOLAS
202106167,ACUG1048,AP,1,70,45,"7,15","7,90",25.0,80.0,83.0,"8,43",25.0,"8,43",6.0,N,,,,0,0,3,0,2,,ACUG1048,SISTEMAS ACUÍCOLAS
201611571,ACUG1049,AP,1,76,56,"6,60","6,50",44.0,63.0,67.0,"7,01",35.0,"7,46",11.0,N,"5,34","4,40",,0,0,2,0,2,,ACUG1049,INGENIERÍA PARA LA ACUICULTURA II
201604279,ACUG1049,AP,1,79,60,"6,95","6,50",36.0,63.0,71.0,"7,46",29.0,"7,95",8.0,N,"5,61","5,01",,0,0,1,2,2,,ACUG1049,INGENIERÍA PARA LA ACUICULTURA II
202006334,ACUG1049,AP,1,64,69,"6,65","6,50",33.0,74.0,74.0,"7,73",31.0,"7,89",9.0,N,"5,68","4,84",,0,0,2,0,1,,ACUG1049,INGENIERÍA PARA LA ACUICULTURA II
201906625,ACUG1049,AP,1,69,64,"6,65","6,50",35.0,71.0,66.0,"7,10",30.0,"7,56",9.0,N,"4,34",,,0,0,3,0,1,,ACUG1049,INGENIERÍA PARA LA ACUICULTURA II
202106167,ACUG1049,AP,1,66,62,"6,40","6,50",25.0,80.0,83.0,"8,43",25.0,"8,43",6.0,N,,,,0,0,3,0,2,,ACUG1049,INGENIERÍA PARA LA ACUICULTURA II
