COD_ESTUDIANTE,COD_MATERIA_ACAD_MO,ESTADO_MAT_TOMADA_MO,VEZ_TOMADA_MO,NOTA1_MO,NOTA2MO,PROMEDIO_MO,DIFICULTAD_MO,T_MAT_TOMADAS,PROM_1PARCIAL,PROM_2PARCIAL,PROM_CALIFICACIONES,MAT_APROBADAS,PROM_CALIF_APROBADAS,TERMINOS_REGISTRADOS,PERDIO_CARRERA,PROM_MAT_REPROBADAS1,PROM_MAT_REPROBADAS2,PROM_MAT_REPROBADAS3,MUY_FACIL,FACIL,MODERADA,DIFICIL,MUY_DIFICIL,GPA_ULTIMO,CODIGOMATERIA,MATERIA
201404731,ACUG1035,AP,1,88,77,"8,25","7,90",54.0,59.0,64.0,"6,81",42.0,"7,54",15,S,"4,62","2,34","4,45",0,0,2,1,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201912565,ACUG1035,AP,1,97,93,"9,50","7,90",24.0,86.0,79.0,"8,33",24.0,"8,33",7,N,,,,0,1,2,1,2,,ACUG1035,ACUICULTURA ORNAMENTAL
201705837,ACUG1035,AP,1,82,84,"8,30","7,90",46.0,64.0,60.0,"6,77",37.0,"7,58",10,N,"3,28","4,62",,0,2,1,0,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201611571,ACUG1035,AP,1,80,88,"8,40","7,90",39.0,62.0,66.0,"6,96",31.0,"7,41",10,N,"5,36","4,40",,0,0,1,1,2,,ACUG1035,ACUICULTURA ORNAMENTAL
201314211,ACUG1035,AP,1,94,89,"9,15","7,90",61.0,54.0,59.0,"6,44",47.0,"7,48",16,N,"2,66","4,00",,0,0,2,0,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201650140,ACUG1035,AP,1,93,94,"9,35","7,90",45.0,68.0,70.0,"7,47",40.0,"8,03",12,N,"2,93","3,02",,0,0,2,0,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201700499,ACUG1035,AP,1,92,80,"8,60","7,90",48.0,69.0,65.0,"7,05",40.0,"7,55",12,N,"4,41","5,52",,0,1,2,0,1,,ACUG1035,ACUICULTURA ORNAMENTAL
201705803,ACUG1035,AP,1,88,93,"9,05","7,90",50.0,69.0,64.0,"6,85",41.0,"7,65",12,N,"3,31","5,72",,0,1,2,0,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201301138,ACUG1035,AP,1,80,78,"7,90","7,90",63.0,52.0,60.0,"6,43",47.0,"7,10",19,N,"4,46","4,35",,1,0,2,0,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201802832,ACUG1035,AP,1,84,83,"8,35","7,90",44.0,68.0,68.0,"7,25",40.0,"7,57",11,N,"4,00",,,0,0,1,1,3,,ACUG1035,ACUICULTURA ORNAMENTAL
202006334,ACUG1036,AP,1,81,77,"8,17","6,74",22.0,73.0,72.0,"7,61",20.0,"7,84",7,N,"5,68","4,84",,0,0,1,2,2,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
201504015,ACUG1036,RP,1,0,0,"0,00","6,74",52.0,58.0,58.0,"6,34",38.0,"7,43",15,N,"3,11","5,19",,0,1,0,0,2,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
201906625,ACUG1036,AP,1,79,78,"7,92","6,74",26.0,71.0,65.0,"7,00",22.0,"7,50",7,N,"4,28",,,0,0,0,2,3,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
202106167,ACUG1036,AP,1,79,77,"8,10","6,74",14.0,81.0,84.0,"8,43",14.0,"8,43",4,N,,,,0,0,0,2,3,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
201912565,ACUG1039,AP,1,75,50,"6,92","8,32",24.0,86.0,79.0,"8,33",24.0,"8,33",7,N,,,,0,1,2,1,2,,ACUG1039,CULTIVO DE ESPECIES NO TRADICIONALES
