CODIGOMATERIA,CLASIFMATERIA,MATERIA,ANIO,TERMINO,DIFICULTAD
ADSG1026,G,CIENCIAS DE LA SOSTENIBILIDAD,2020,0S,"8,10"
ADSG1029,G,TRATAMIENTO DE AGUAS,2020,0S,"7,87"
ADST3002,G,CIENCIAS AMBIENTALES,2024,0S,"8,64"
AGRG1022,G,AGRICULTURA DE PRECISIÓN,2020,0S,"7,00"
AGRG1023,G,AGROECOSISTEMAS,2020,0S,"8,22"
AGRG1024,G,DIAGNÓSTICO Y PROTECCIÓN VEGETAL II,2020,0S,"8,34"
AGRG1025,G,DIAGNÓSTICO Y PROTECCIÓN VEGETAL I,2020,0S,"8,04"
AGRG1026,G,EDAFOLOGÍA,2020,0S,"8,05"
AGRG1027,G,FISIOLOGÍA VEGETAL,2020,0S,"8,02"
AGRG1028,G,GESTIÓN DE UNIDADES DE PRODUCCIÓN AGROPECUARIA,2020,0S,"8,80"
AGRG1029,T,MATERIA INTEGRADORA DE INGENIERÍA AGRÍCOLA Y BIOLÓGICA,2020,0S,"9,60"
AGRG1030,G,MECANIZACIÓN AGRÍCOLA,2021,0S,"7,99"
AGRG1032,G,PRODUCCIÓN VEGETAL I,2020,0S,"8,31"
AGRG1033,G,PRODUCCIÓN VEGETAL II,2020,0S,"7,69"
AGRG1035,G,RIEGO Y DRENAJE,2020,0S,"7,78"
AGRG1036,G,SILVICULTURA,2020,0S,"6,30"
AGRG1037,G,NUTRICIÓN VEGETAL,2020,0S,"8,19"
AGRG1038,G,PRODUCCIÓN PECUARIA II,2020,0S,"8,14"
AGRG1039,G,PRODUCCIÓN PECUARIA I,2020,0S,"8,24"
AGRG1040,G,PRODUCCIÓN VEGETAL III,2022,0S,"7,84"
AGRG1041,G,SEMILLEROS Y VIVEROS,2024,0S,"6,84"
ALIG1029,G,ANÁLISIS DE ALIMENTOS,2020,0S,"8,24"
ALIG1030,G,BIOQUÍMICA ALIMENTARIA,2020,0S,"8,29"
ALIG1031,G,CONTROL DE CALIDAD Y EVALUACIÓN SENSORIAL DE ALIMENTOS,2020,0S,"7,52"
ALIG1032,G,DESARROLLO DE NUEVOS PRODUCTOS ALIMENTICIOS,2020,0S,"8,11"
ALIG1033,G,DISEÑO DE PLANTAS ALIMENTARIAS,2020,0S,"8,78"
ALIG1034,G,DISEÑO DE PROCESOS TÉRMICOS I,2020,0S,"7,47"
ALIG1035,G,DISEÑO DE PROCESOS TÉRMICOS II,2020,0S,"8,49"
ALIG1036,G,FERMENTACIÓN Y ENZIMOLOGÍA ALIMENTARIA,2020,0S,"8,22"
ALIG1037,G,FUNDAMENTOS DE LA INGENIERÍA EN ALIMENTOS,2020,0S,"7,34"
ALIG1038,G,INGENIERÍA DE PROCESOS ALIMENTARIOS,2020,0S,"8,20"
ALIG1039,G,INOCUIDAD ALIMENTARIA,2020,0S,"7,46"
ALIG1040,T,MATERIA INTEGRADORA DE ALIMENTOS,2020,0S,"9,04"
ALIG1041,G,MICROBIOLOGÍA DE ALIMENTOS,2020,0S,"6,31"
ALIG1042,G,OPTIMIZACIÓN Y SIMULACIÓN DE PROCESOS ALIMENTARIOS,2020,0S,"8,34"
ALIG1043,G,PROCESAMIENTO DE FARINÁCEOS Y OLEAGINOSAS,2020,0S,"8,56"
ALIG1044,G,PROCESAMIENTO DE FRUTAS Y VEGETALES,2020,0S,"8,32"
ALIG1045,G,PROCESAMIENTO DE LÁCTEOS,2020,0S,"8,18"
ALIG1046,G,"PROCESAMIENTO DE CÁRNICOS, PESCADOS Y MARISCOS",2020,0S,"8,16"
ALIG1047,G,SANIDAD E HIGIENE ALIMENTARIA,2020,0S,"7,65"
ALIG1050,G,QUÍMICA ALIMENTARIA,2020,0S,"7,48"
ARQG2020,G,ANTROPOLOGÍA BIOLÓGICA,2020,0S,"7,10"
ARQG2021,G,ARQUEOLOGÍA DE MESOAMÉRICA,2020,0S,"7,90"
ARQG2022,G,BIOARQUEOLOGÍA,2020,0S,"7,77"
ARQG2023,G,PROYECTOS DE INVESTIGACIÓN ARQUEOLÓGICA,2020,0S,"8,18"
ARQG2024,T,MATERIA INTEGRADORA EN ARQUEOLOGÍA,2021,0S,"8,16"
ARQG2025,G,ARQUEOLOGÍA DEL ECUADOR II,2020,0S,"7,16"
ARQG2026,G,LABORATORIO DE ARQUEOLOGÍA II,2021,0S,"8,63"
ARQG2028,G,CAMPO DE ANTROPOLOGÍA SOCIOCULTURAL II,2020,0S,"7,82"
ARQG2029,G,LABORATORIO DE ARQUEOLOGÍA I,2020,0S,"8,51"
ARQG2030,G,CAMPO DE ARQUEOLOGÍA I,2020,0S,"8,16"
ARQG2031,G,ARQUEOLOGÍA ANDINOAMERICANA,2020,0S,"7,26"
ARQG2032,G,ARQUEOLOGÍA DE LAS TIERRAS BAJAS DE SUDAMÉRICA Y DEL CARIBE,2021,0S,"7,90"
ARQG2033,G,ARQUEOLOGÍA DEL ECUADOR I,2020,0S,"7,39"
