COD_ESTUDIANTE,COD_MATERIA_ACAD_MO,ESTADO_MAT_TOMADA_MO,VEZ_TOMADA_MO,NOTA1_MO,NOTA2MO,PROMEDIO_MO,DIFICULTAD_MO,T_MAT_TOMADAS,PROM_1PARCIAL,PROM_2PARCIAL,PROM_CALIFICACIONES,MAT_APROBADAS,PROM_CALIF_APROBADAS,TERMINOS_REGISTRADOS,PERDIO_CARRERA,PROM_MAT_REPROBADAS1,PROM_MAT_REPROBADAS2,PROM_MAT_REPROBADAS3,MUY_FACIL,FACIL,MODERADA,DIFICIL,MUY_DIFICIL,GPA_ULTIMO,CODIGOMATERIA,MATERIA
200909794,ACUG1035,AP,1,82,86,"8,40","7,90",72.0,54.0,55.0,"6,19",45.0,"7,56",16.0,N,"4,32","3,66","3,03",1,0,1,0,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201906112,ACUG1035,AP,1,100,90,"9,50","7,90",42.0,86.0,82.0,"8,71",41.0,"8,79",10.0,N,"5,58",,,0,1,1,1,0,,ACUG1035,ACUICULTURA ORNAMENTAL
202001400,ACUG1035,AP,1,94,83,"8,85","7,90",32.0,85.0,77.0,"8,31",32.0,"8,31",7.0,N,,,,0,2,1,1,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201700085,ACUG1035,AP,1,94,87,"9,05","7,90",47.0,65.0,61.0,"6,78",36.0,"7,83",11.0,N,"3,43","2,34",,0,1,1,1,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201914223,ACUG1035,AP,1,87,90,"8,85","7,90",35.0,84.0,79.0,"8,49",35.0,"8,49",8.0,N,,,,0,2,1,1,0,,ACUG1035,ACUICULTURA ORNAMENTAL
202002440,ACUG1035,AP,1,89,83,"8,60","7,90",35.0,78.0,72.0,"7,80",35.0,"7,80",10.0,N,,,,0,2,1,1,0,,ACUG1035,ACUICULTURA ORNAMENTAL
202001186,ACUG1035,AP,1,83,80,"8,15","7,90",29.0,84.0,77.0,"8,35",29.0,"8,35",7.0,N,,,,0,1,1,1,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201917168,ACUG1035,AP,1,98,95,"9,65","7,90",32.0,88.0,84.0,"8,98",32.0,"8,98",8.0,N,,,,0,2,1,1,0,,ACUG1035,ACUICULTURA ORNAMENTAL
202104378,ACUG1036,AP,1,51,63,"6,57","6,74",19.0,62.0,66.0,"6,99",16.0,"7,39",5.0,N,"4,98","4,67",,0,0,0,0,3,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
202003505,ACUG1036,AP,1,82,76,"8,05","6,74",29.0,81.0,72.0,"7,96",27.0,"8,20",8.0,N,"3,79","5,87",,0,2,0,1,2,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
201604279,ACUG1036,AP,1,78,68,"7,63","6,74",31.0,60.0,70.0,"7,31",24.0,"7,86",7.0,N,"5,61","5,01",,0,0,0,1,3,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
202001400,ACUG1039,AP,1,76,84,"8,48","8,32",32.0,85.0,77.0,"8,31",32.0,"8,31",7.0,N,,,,0,2,1,1,0,,ACUG1039,CULTIVO DE ESPECIES NO TRADICIONALES
