COD_ESTUDIANTE,COD_MATERIA_ACAD_MO,ESTADO_MAT_TOMADA_MO,VEZ_TOMADA_MO,NOTA1_MO,NOTA2MO,PROMEDIO_MO,DIFICULTAD_MO,T_MAT_TOMADAS,PROM_1PARCIAL,PROM_2PARCIAL,PROM_CALIFICACIONES,MAT_APROBADAS,PROM_CALIF_APROBADAS,TERMINOS_REGISTRADOS,PERDIO_CARRERA,PROM_MAT_REPROBADAS1,PROM_MAT_REPROBADAS2,PROM_MAT_REPROBADAS3,MUY_FACIL,FACIL,MODERADA,DIFICIL,MUY_DIFICIL,GPA_ULTIMO,CODIGOMATERIA,MATERIA
201807286,ACUG1035,RP,1,25,0,"1,25","7,90",36.0,62.0,56.0,"6,35",27.0,"7,39",9,N,"3,02","5,14",,0,0,2,1,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201611555,ACUG1035,AP,1,90,87,"8,85","7,90",42.0,63.0,63.0,"6,77",33.0,"7,45",12,N,"4,11","4,81",,0,2,1,0,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201702537,ACUG1035,AP,1,82,63,"7,25","7,90",43.0,68.0,66.0,"7,02",35.0,"7,54",12,N,"4,54","5,25",,0,1,2,1,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201708674,ACUG1035,AP,1,84,82,"8,30","7,90",36.0,76.0,75.0,"7,86",35.0,"7,92",10,N,"5,92",,,0,2,1,1,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201514093,ACUG1035,AP,1,88,89,"8,85","7,90",53.0,60.0,65.0,"7,10",44.0,"7,68",12,N,"4,03","5,11",,1,0,2,0,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201516297,ACUG1035,AP,1,62,73,"6,75","7,90",50.0,60.0,66.0,"6,68",39.0,"7,51",13,N,"3,90","3,41",,1,0,1,0,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201614922,ACUG1035,AP,1,86,87,"8,65","7,90",47.0,63.0,68.0,"7,18",37.0,"7,89",12,N,"4,15","5,54",,0,1,1,0,1,,ACUG1035,ACUICULTURA ORNAMENTAL
201810280,ACUG1035,AP,1,91,83,"8,70","7,90",34.0,75.0,75.0,"7,73",31.0,"8,03",8,N,"4,65",,,0,2,1,1,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201417345,ACUG1035,AP,1,88,90,"8,90","7,90",62.0,55.0,57.0,"6,38",47.0,"7,43",15,N,"3,09",,,0,0,1,0,1,,ACUG1035,ACUICULTURA ORNAMENTAL
201504211,ACUG1035,AP,1,90,77,"8,35","7,90",55.0,63.0,66.0,"7,08",47.0,"7,65",15,N,"3,36","4,87",,1,0,2,0,0,,ACUG1035,ACUICULTURA ORNAMENTAL
