CODIGOMATERIA,MATERIA_x,REPROBADOS,REGISTRADOS,TASA_RP,CLASIFMATERIA,MATERIA_y,ANIO,TERMINO,DIFICULTAD
ADMT3005,COMERCIO EXTERIOR,0,16,"0,00",G,COMERCIO EXTERIOR,2024,0S,"7,89"
ADSG1019,CONTAMINACIÓN AMBIENTAL,0,174,"0,00",G,CONTAMINACIÓN AMBIENTAL,2020,0S,"8,52"
ADSG1020,ECOLOGÍA ACUÁTICA,3,145,"2,07",G,ECOLOGÍA ACUÁTICA,2020,0S,"8,40"
ADSG1021,ECOLOGÍA DE ECOSISTEMAS,4,199,"2,01",G,ECOLOGÍA DE ECOSISTEMAS,2020,0S,"8,72"
ADSG1022,ECOLOGÍA GENERAL,5,194,"2,58",G,ECOLOGÍA GENERAL,2020,0S,"8,22"
ADSG1023,REMEDIACIÓN AMBIENTAL,0,119,"0,00",G,REMEDIACIÓN AMBIENTAL,2021,0S,"9,55"
ADSG1024,PRINCIPIOS DE ECOTOXICOLOGÍA,2,189,"1,06",G,PRINCIPIOS DE ECOTOXICOLOGÍA,2020,0S,"8,30"
ADSG1025,"GESTIÓN DE CALIDAD, AMBIENTE Y SEGURIDAD EN LA INDUSTRIA",12,480,"2,50",G,"GESTIÓN DE CALIDAD, AMBIENTE Y SEGURIDAD EN LA INDUSTRIA",2020,0S,"7,99"
ADSG1026,CIENCIAS DE LA SOSTENIBILIDAD,110,5542,"1,98",G,CIENCIAS DE LA SOSTENIBILIDAD,2020,0S,"8,10"
ADSG1029,TRATAMIENTO DE AGUAS,8,383,"2,09",G,TRATAMIENTO DE AGUAS,2020,0S,"7,87"
ADST3002,CIENCIAS AMBIENTALES,0,16,"0,00",G,CIENCIAS AMBIENTALES,2024,0S,"8,64"
AGRG1022,AGRICULTURA DE PRECISIÓN,7,52,"13,46",G,AGRICULTURA DE PRECISIÓN,2020,0S,"7,00"
AGRG1023,AGROECOSISTEMAS,0,39,"0,00",G,AGROECOSISTEMAS,2020,0S,"8,22"
AGRG1024,DIAGNÓSTICO Y PROTECCIÓN VEGETAL II,2,51,"3,92",G,DIAGNÓSTICO Y PROTECCIÓN VEGETAL II,2020,0S,"8,34"
AGRG1025,DIAGNÓSTICO Y PROTECCIÓN VEGETAL I,2,54,"3,70",G,DIAGNÓSTICO Y PROTECCIÓN VEGETAL I,2020,0S,"8,04"
AGRG1026,EDAFOLOGÍA,4,59,"6,78",G,EDAFOLOGÍA,2020,0S,"8,05"
AGRG1027,FISIOLOGÍA VEGETAL,3,297,"1,01",G,FISIOLOGÍA VEGETAL,2020,0S,"8,02"
AGRG1028,GESTIÓN DE UNIDADES DE PRODUCCIÓN AGROPECUARIA,0,44,"0,00",G,GESTIÓN DE UNIDADES DE PRODUCCIÓN AGROPECUARIA,2020,0S,"8,80"
AGRG1029,MATERIA INTEGRADORA DE INGENIERÍA AGRÍCOLA Y BIOLÓGICA,0,37,"0,00",T,MATERIA INTEGRADORA DE INGENIERÍA AGRÍCOLA Y BIOLÓGICA,2020,0S,"9,60"
AGRG1030,MECANIZACIÓN AGRÍCOLA,0,35,"0,00",G,MECANIZACIÓN AGRÍCOLA,2021,0S,"7,99"
AGRG1032,PRODUCCIÓN VEGETAL I,1,53,"1,89",G,PRODUCCIÓN VEGETAL I,2020,0S,"8,31"
AGRG1033,PRODUCCIÓN VEGETAL II,3,52,"5,77",G,PRODUCCIÓN VEGETAL II,2020,0S,"7,69"
AGRG1035,RIEGO Y DRENAJE,1,45,"2,22",G,RIEGO Y DRENAJE,2020,0S,"7,78"
AGRG1036,SILVICULTURA,5,46,"10,87",G,SILVICULTURA,2020,0S,"6,30"
AGRG1037,NUTRICIÓN VEGETAL,1,50,"2,00",G,NUTRICIÓN VEGETAL,2020,0S,"8,19"
AGRG1038,PRODUCCIÓN PECUARIA II,0,41,"0,00",G,PRODUCCIÓN PECUARIA II,2020,0S,"8,14"
AGRG1039,PRODUCCIÓN PECUARIA I,0,57,"0,00",G,PRODUCCIÓN PECUARIA I,2020,0S,"8,24"
AGRG1040,PRODUCCIÓN VEGETAL III,1,37,"2,70",G,PRODUCCIÓN VEGETAL III,2022,0S,"7,84"
AGRG1041,SEMILLEROS Y VIVEROS,5,32,"15,63",G,SEMILLEROS Y VIVEROS,2024,0S,"6,84"
ALIG1029,ANÁLISIS DE ALIMENTOS,1,154,"0,65",G,ANÁLISIS DE ALIMENTOS,2020,0S,"8,24"
ALIG1030,BIOQUÍMICA ALIMENTARIA,1,173,"0,58",G,BIOQUÍMICA ALIMENTARIA,2020,0S,"8,29"
ALIG1031,CONTROL DE CALIDAD Y EVALUACIÓN SENSORIAL DE ALIMENTOS,9,205,"4,39",G,CONTROL DE CALIDAD Y EVALUACIÓN SENSORIAL DE ALIMENTOS,2020,0S,"7,52"
