COD_ESTUDIANTE,COD_MATERIA_ACAD_MO,ESTADO_MAT_TOMADA_MO,VEZ_TOMADA_MO,NOTA1_MO,NOTA2MO,PROMEDIO_MO,DIFICULTAD_MO,T_MAT_TOMADAS,PROM_1PARCIAL,PROM_2PARCIAL,PROM_CALIFICACIONES,MAT_APROBADAS,PROM_CALIF_APROBADAS,TERMINOS_REGISTRADOS,PERDIO_CARRERA,PROM_MAT_REPROBADAS1,PROM_MAT_REPROBADAS2,PROM_MAT_REPROBADAS3,MUY_FACIL,FACIL,MODERADA,DIFICIL,MUY_DIFICIL,GPA_ULTIMO,CODIGOMATERIA,MATERIA
202104378,ACUG1035,AP,1,90,84,"8,70","7,90",33.0,66.0,68.0,"7,29",28.0,"7,65",8.0,N,"5,42","4,67",,0,1,2,1,2,,ACUG1035,ACUICULTURA ORNAMENTAL
201604279,ACUG1035,AP,1,95,90,"9,25","7,90",45.0,67.0,73.0,"7,66",38.0,"8,07",10.0,N,"5,61","5,01",,0,2,1,0,0,,ACUG1035,ACUICULTURA ORNAMENTAL
202001269,ACUG1036,AP,1,77,69,"7,75","6,74",29.0,72.0,70.0,"7,46",26.0,"7,70",9.0,N,"5,44",,,0,0,2,0,2,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
201905072,ACUG1036,AP,1,81,65,"7,54","6,74",39.0,58.0,52.0,"5,90",26.0,"7,28",11.0,N,"3,15","2,92",,0,0,1,1,2,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
202215976,ACUG1036,AP,1,75,79,"7,94","6,74",16.0,66.0,68.0,"7,17",13.0,"7,64",5.0,N,"5,14",,,0,0,0,1,3,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
202207965,ACUG1036,AP,1,80,76,"8,16","6,74",20.0,71.0,71.0,"7,60",18.0,"7,81",7.0,N,"5,69",,,0,0,0,2,2,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
202101119,ACUG1036,AP,1,82,67,"7,91","6,74",30.0,67.0,69.0,"7,25",27.0,"7,59",8.0,N,"4,17",,,0,0,1,0,2,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
202104378,ACUG1039,AP,1,78,69,"7,33","8,42",33.0,66.0,68.0,"7,29",28.0,"7,65",8.0,N,"5,42","4,67",,0,1,2,1,2,,ACUG1039,CULTIVO DE ESPECIES NO TRADICIONALES
202105417,ACUG1039,AP,1,94,81,"8,88","8,42",36.0,75.0,77.0,"7,84",35.0,"7,90",9.0,N,"5,95",,,0,1,2,0,0,,ACUG1039,CULTIVO DE ESPECIES NO TRADICIONALES
201604279,ACUG1039,AP,1,83,81,"8,05","8,42",45.0,67.0,73.0,"7,66",38.0,"8,07",10.0,N,"5,61","5,01",,0,2,1,0,0,,ACUG1039,CULTIVO DE ESPECIES NO TRADICIONALES
202001269,ACUG1040,AP,1,70,93,"8,22","7,88",29.0,72.0,70.0,"7,46",26.0,"7,70",9.0,N,"5,44",,,0,0,2,0,2,,ACUG1040,CULTIVO DE PLANCTON
201905072,ACUG1040,AP,1,73,78,"8,10","7,88",39.0,58.0,52.0,"5,90",26.0,"7,28",11.0,N,"3,15","2,92",,0,0,1,1,2,,ACUG1040,CULTIVO DE PLANCTON
202202479,ACUG1040,AP,1,73,75,"7,55","7,88",24.0,72.0,77.0,"7,88",23.0,"8,00",7.0,N,"5,11",,,0,0,3,1,1,,ACUG1040,CULTIVO DE PLANCTON
