"COD_ESTUDIANTE","ANIO","TERMINO","DENOMINADOR","NUMERADOR"
"202100368","2021","1S",6,55.20
"202100657","2021","1S",6,57.00
"202101556","2021","1S",6,48.00
"202102448","2021","1S",6,54.00
"202012209","2021","1S",12,81.48
"202013124","2021","1S",12,77.76
"202013348","2021","1S",12,96.00
"202013561","2021","1S",12,75.78
"202009742","2021","1S",24,154.23
"202010187","2021","1S",24,175.38
"202011235","2021","1S",24,183.93
"202012613","2021","1S",24,223.05
"202013173","2021","1S",24,203.88
"202013389","2021","1S",24,163.86
"202001897","2021","1S",27,207.45
"202002978","2021","1S",27,204.93
"202006896","2021","1S",27,18.36
"202008454","2021","1S",27,178.74
"202009973","2021","1S",27,161.82
"202010112","2021","1S",27,200.07
"202010245","2021","1S",27,129.96
"202010278","2021","1S",27,201.15
"202010286","2021","1S",27,203.31
"202010294","2021","1S",27,156.24
"202010328","2021","1S",27,157.14
"202010450","2021","1S",27,191.88
"202010484","2021","1S",27,190.80
"202010799","2021","1S",27,217.89
"202010831","2021","1S",27,213.48
"202010856","2021","1S",27,148.23
"202011086","2021","1S",27,235.62
"202011268","2021","1S",27,226.98
"202011672","2021","1S",27,123.42
"202011706","2021","1S",27,212.94
"202011870","2021","1S",27,205.02
"202011912","2021","1S",27,225.45
"202012258","2021","1S",27,160.20
"202012308","2021","1S",27,148.77
"202012332","2021","1S",27,222.48
"202012431","2021","1S",27,193.14
"202012514","2021","1S",27,125.64
"202012829","2021","1S",27,139.59
"202013082","2021","1S",27,191.25
"202013306","2021","1S",27,220.50
"202013520","2021","1S",27,194.04
"202013603","2021","1S",27,179.46
"202013769","2021","1S",27,207.15
"202010203","2021","1S",30,225.00
"202010617","2021","1S",30,279.72
"202011052","2021","1S",30,150.27
"202011250","2021","1S",30,144.90
"202011573","2021","1S",30,188.64
"201902194","2021","1S",33,21.72
"202002291","2021","1S",33,237.33
"202002895","2021","1S",33,167.01
"202004867","2021","1S",33,285.03
"202009965","2021","1S",33,143.19
"202009981","2021","1S",33,260.64
"202010104","2021","1S",33,300.75
"202010385","2021","1S",33,286.23
"202010567","2021","1S",33,291.03
"202010724","2021","1S",33,271.50
"202010914","2021","1S",33,250.89
"202010922","2021","1S",33,286.62
"202011102","2021","1S",33,264.42
"202011219","2021","1S",33,309.42
"202011714","2021","1S",33,243.93
"202011854","2021","1S",33,254.22
"202011979","2021","1S",33,289.59
"202011995","2021","1S",33,303.63
"202012142","2021","1S",33,260.43
"202012316","2021","1S",33,291.45
"202012522","2021","1S",33,281.46
"202012639","2021","1S",33,270.90
"202012647","2021","1S",33,280.62
"202012852","2021","1S",33,264.09
"202013116","2021","1S",33,224.10
"202013132","2021","1S",33,223.05
"202013199","2021","1S",33,275.76
"202013371","2021","1S",33,290.49
"202013488","2021","1S",33,267.78
"202013504","2021","1S",33,281.91
"202013652","2021","1S",33,283.47
"201810603","2021","1S",36,143.07
"202002200","2021","1S",36,221.40
"202003281","2021","1S",36,257.49
"202003471","2021","1S",36,239.94
"202003596","2021","1S",36,110.07
"202005609","2021","1S",36,218.97
"202005724","2021","1S",36,203.85
"202005963","2021","1S",36,177.72
"202008520","2021","1S",36,225.63
"202010005","2021","1S",36,206.46
"202010013","2021","1S",36,288.21
"202010062","2021","1S",36,268.74
"202010229","2021","1S",36,239.22
"202010237","2021","1S",36,273.96
"202010260","2021","1S",36,297.33
"202010344","2021","1S",36,276.48
"202010500","2021","1S",36,287.58
"202010658","2021","1S",36,275.58
"202010674","2021","1S",36,235.98
"202010781","2021","1S",36,224.73
"202010807","2021","1S",36,295.08
"202010823","2021","1S",36,267.66
"202010930","2021","1S",36,246.93
"202010963","2021","1S",36,228.51
"202011011","2021","1S",36,282.69
"202011045","2021","1S",36,228.42
"202011151","2021","1S",36,206.01
"202011276","2021","1S",36,237.87
"202011334","2021","1S",36,305.52
"202011458","2021","1S",36,183.51
"202011516","2021","1S",36,297.93
"202011532","2021","1S",36,307.71
"202011540","2021","1S",36,241.92
"202011599","2021","1S",36,131.04
"202011623","2021","1S",36,278.91
"202011631","2021","1S",36,171.36
"202011649","2021","1S",36,246.33
"202011730","2021","1S",36,241.56
"202011847","2021","1S",36,155.43
"202011920","2021","1S",36,260.07
"202011987","2021","1S",36,282.51
"202012084","2021","1S",36,294.75
"202012092","2021","1S",36,276.93
"202012100","2021","1S",36,260.37
"202012167","2021","1S",36,291.00
"202012175","2021","1S",36,277.98
"202012225","2021","1S",36,285.27
"202012266","2021","1S",36,250.20
"202012290","2021","1S",36,267.99
"202012324","2021","1S",36,235.98
"202012340","2021","1S",36,305.28
"202012381","2021","1S",36,173.79
"202012449","2021","1S",36,259.68
"202012464","2021","1S",36,278.49
"202012472","2021","1S",36,233.37
"202012480","2021","1S",36,259.98
"202012621","2021","1S",36,295.98
"202012670","2021","1S",36,255.15
"202012704","2021","1S",36,274.86
"202012738","2021","1S",36,258.45
"202012753","2021","1S",36,253.17
"202012779","2021","1S",36,269.07
"202012795","2021","1S",36,215.10
"202012845","2021","1S",36,294.00
"202012902","2021","1S",36,262.98
"202012936","2021","1S",36,218.79
"202012969","2021","1S",36,258.93
"202012993","2021","1S",36,278.37
"202013140","2021","1S",36,292.14
"202013207","2021","1S",36,271.53
"202013298","2021","1S",36,238.86
"202013405","2021","1S",36,182.25
"202013512","2021","1S",36,246.51
"202013579","2021","1S",36,264.51
"202013595","2021","1S",36,285.51
"202013660","2021","1S",36,261.27
"202013686","2021","1S",36,278.10
"202013736","2021","1S",36,203.58
"202001392","2021","1S",39,230.61
"202003174","2021","1S",39,195.33
"202003430","2021","1S",39,276.21
"202009999","2021","1S",39,318.18
"202010039","2021","1S",39,330.09
"202010153","2021","1S",39,297.72
"202010492","2021","1S",39,153.09
"202010534","2021","1S",39,346.92
"202010948","2021","1S",39,260.61
"202011078","2021","1S",39,306.63
"202011482","2021","1S",39,333.51
"202011565","2021","1S",39,279.00
"202011797","2021","1S",39,314.19
"202011862","2021","1S",39,319.29
"202012191","2021","1S",39,309.27
"202012928","2021","1S",39,316.17
"202013454","2021","1S",39,316.68
"202013462","2021","1S",39,312.30
"202050035","2021","1S",39,378.57
"202001970","2021","1S",42,127.05
"202002416","2021","1S",42,350.31
"202002986","2021","1S",42,211.23
"202004735","2021","1S",42,265.38
"202006771","2021","1S",42,279.60
"202010146","2021","1S",42,338.79
"202010369","2021","1S",42,322.89
"202010393","2021","1S",42,287.37
"202010971","2021","1S",42,320.25
"202011094","2021","1S",42,258.51
"202011375","2021","1S",42,343.35
"202011409","2021","1S",42,331.32
"202011425","2021","1S",42,310.86
"202011441","2021","1S",42,335.19
"202011474","2021","1S",42,332.97
"202011615","2021","1S",42,278.58
"202011813","2021","1S",42,328.02
"202012241","2021","1S",42,342.90
"202012407","2021","1S",42,255.09
"202012548","2021","1S",42,362.79
"202012696","2021","1S",42,337.29
"202012712","2021","1S",42,289.59
"202012761","2021","1S",42,329.22
"202012977","2021","1S",42,259.29
"202012985","2021","1S",42,343.44
"202013009","2021","1S",42,307.11
"202013041","2021","1S",42,326.46
"202013215","2021","1S",42,341.52
"202013280","2021","1S",42,273.33
"202013322","2021","1S",42,359.31
"202013397","2021","1S",42,345.30
"202013587","2021","1S",42,314.19
"202013694","2021","1S",42,183.45
"202010070","2021","1S",45,352.50
"202010138","2021","1S",45,302.16
"202010179","2021","1S",45,285.21
"202010419","2021","1S",45,303.75
"202010427","2021","1S",45,316.20
"202010740","2021","1S",45,347.91
"202010997","2021","1S",45,271.62
"202011128","2021","1S",45,317.88
"202011227","2021","1S",45,185.58
"202011284","2021","1S",45,348.54
"202011300","2021","1S",45,323.82
"202011342","2021","1S",45,373.50
"202011367","2021","1S",45,257.76
