"COD_ESTUDIANTE","ANIO","TERMINO","DENOMINADOR","NUMERADOR"
"200109098","2022","2S",14,120.95
"200513075","2022","2S",14,0.00
"200102978","2022","2S",18,131.31
"202200127","2022","2S",24,154.62
"202200655","2022","2S",24,161.88
"202200028","2022","2S",27,150.57
"202200168","2022","2S",27,205.47
"202200291","2022","2S",27,163.71
"202200564","2022","2S",27,199.44
"202200929","2022","2S",27,141.93
"202201034","2022","2S",27,174.69
"202201497","2022","2S",27,130.95
"202202131","2022","2S",27,148.68
"202202875","2022","2S",27,119.43
"202203188","2022","2S",27,198.81
"202203311","2022","2S",27,127.53
"202205399","2022","2S",27,169.47
"202205514","2022","2S",27,126.81
"202205753","2022","2S",27,209.61
"202206025","2022","2S",27,154.35
"202206108","2022","2S",27,196.80
"202206447","2022","2S",27,157.23
"202206462","2022","2S",27,164.88
"202206488","2022","2S",27,173.43
"202206629","2022","2S",27,145.62
"202206694","2022","2S",27,117.81
"202206785","2022","2S",27,185.13
"202206801","2022","2S",27,147.60
"202206835","2022","2S",27,182.34
"200209617","2022","2S",29,148.01
"199722414","2022","2S",30,252.54
"201907854","2022","2S",30,222.45
"202010591","2022","2S",30,218.07
"202107421","2022","2S",30,154.68
"202111167","2022","2S",30,169.62
"202200044","2022","2S",30,218.70
"202200101","2022","2S",30,234.21
"202200150","2022","2S",30,225.18
"202201018","2022","2S",30,211.71
"202202024","2022","2S",30,253.83
"202202529","2022","2S",30,197.34
"202206504","2022","2S",30,223.65
"202206520","2022","2S",30,186.87
"201917507","2022","2S",33,138.48
"202108080","2022","2S",33,149.67
"202108098","2022","2S",33,244.47
"202108692","2022","2S",33,73.89
"202200036","2022","2S",33,226.26
"202200069","2022","2S",33,222.45
"202200093","2022","2S",33,263.37
"202200184","2022","2S",33,215.82
"202200218","2022","2S",33,265.59
"202200234","2022","2S",33,202.38
"202200259","2022","2S",33,178.59
"202200267","2022","2S",33,184.98
"202200275","2022","2S",33,241.35
