"COD_ESTUDIANTE","ANIO","TERMINO","DENOMINADOR","NUMERADOR"
"202370029","2023","1S",6,52.08
"202370144","2023","1S",6,51.90
"202390035","2023","1S",6,25.50
"202390076","2023","1S",6,49.14
"202390084","2023","1S",6,36.66
"202390027","2023","1S",9,71.55
"200713998","2023","1S",10,66.20
"202309571","2023","1S",12,80.40
"200103349","2023","1S",15,147.39
"200223188","2023","1S",15,16.92
"202390019","2023","1S",15,0.00
"202301412","2023","1S",18,117.96
"202302378","2023","1S",18,113.28
"202303806","2023","1S",18,123.90
"202303863","2023","1S",18,154.98
"202300331","2023","1S",24,137.34
"202301149","2023","1S",24,162.27
"202302741","2023","1S",24,167.16
"202304887","2023","1S",24,168.96
"202309787","2023","1S",24,174.39
"202214979","2023","1S",27,222.66
"202300067","2023","1S",27,163.53
"202300091","2023","1S",27,168.21
"202300240","2023","1S",27,152.55
"202300372","2023","1S",27,125.10
"202300539","2023","1S",27,120.24
"202300547","2023","1S",27,182.79
"202300588","2023","1S",27,189.99
"202300695","2023","1S",27,176.13
"202300737","2023","1S",27,101.52
"202300745","2023","1S",27,164.25
"202300810","2023","1S",27,173.07
"202300885","2023","1S",27,167.67
"202300935","2023","1S",27,117.72
"202301024","2023","1S",27,165.60
"202301164","2023","1S",27,144.54
"202301206","2023","1S",27,131.76
"202301214","2023","1S",27,159.21
"202301297","2023","1S",27,196.74
"202301321","2023","1S",27,116.01
"202301354","2023","1S",27,117.00
"202301545","2023","1S",27,172.80
"202301669","2023","1S",27,186.21
"202301693","2023","1S",27,67.68
"202301735","2023","1S",27,217.11
"202301933","2023","1S",27,138.06
"202302006","2023","1S",27,206.64
"202302071","2023","1S",27,131.76
"202302097","2023","1S",27,201.60
"202302162","2023","1S",27,154.98
"202302196","2023","1S",27,112.50
"202302311","2023","1S",27,215.73
"202302386","2023","1S",27,176.94
"202302394","2023","1S",27,177.84
"202302428","2023","1S",27,170.55
"202302436","2023","1S",27,173.70
"202302469","2023","1S",27,175.14
"202302782","2023","1S",27,195.57
"202302816","2023","1S",27,166.86
"202302824","2023","1S",27,181.89
"202302832","2023","1S",27,137.61
"202302873","2023","1S",27,191.52
"202302899","2023","1S",27,220.95
"202303046","2023","1S",27,182.88
"202303160","2023","1S",27,161.01
"202303244","2023","1S",27,176.76
"202303293","2023","1S",27,165.15
"202303368","2023","1S",27,165.78
"202303384","2023","1S",27,200.70
"202303574","2023","1S",27,196.83
"202303699","2023","1S",27,198.99
"202303715","2023","1S",27,180.00
"202303723","2023","1S",27,154.08
"202303772","2023","1S",27,204.39
"202303822","2023","1S",27,156.51
"202303905","2023","1S",27,115.11
"202304002","2023","1S",27,170.46
"202304010","2023","1S",27,179.73
"202304093","2023","1S",27,151.65
"202304135","2023","1S",27,219.51
"202304168","2023","1S",27,85.32
"202304192","2023","1S",27,164.97
"202304275","2023","1S",27,159.21
"202304366","2023","1S",27,162.54
"202304382","2023","1S",27,214.65
"202304408","2023","1S",27,177.12
"202304424","2023","1S",27,181.98
"202304515","2023","1S",27,181.35
"202304572","2023","1S",27,181.53
"202304697","2023","1S",27,191.70
"202304820","2023","1S",27,178.65
"202304879","2023","1S",27,20.88
"202305124","2023","1S",27,226.26
"202305132","2023","1S",27,205.38
"202305280","2023","1S",27,177.30
"202305389","2023","1S",27,179.64
"202305827","2023","1S",27,207.09
"202305926","2023","1S",27,215.10
"202307021","2023","1S",27,218.16
"202307740","2023","1S",27,180.00
"202307781","2023","1S",27,130.50
"202307807","2023","1S",27,92.07
"202307815","2023","1S",27,162.54
