COD_ESTUDIANTE,COD_MATERIA_ACAD_MO,ESTADO_MAT_TOMADA_MO,VEZ_TOMADA_MO,NOTA1_MO,NOTA2MO,PROMEDIO_MO,DIFICULTAD_MO,T_MAT_TOMADAS,PROM_1PARCIAL,PROM_2PARCIAL,PROM_CALIFICACIONES,MAT_APROBADAS,PROM_CALIF_APROBADAS,TERMINOS_REGISTRADOS,PERDIO_CARRERA,PROM_MAT_REPROBADAS1,PROM_MAT_REPROBADAS2,PROM_MAT_REPROBADAS3,MUY_FACIL,FACIL,MODERADA,DIFICIL,MUY_DIFICIL,GPA_ULTIMO
201404731,ACUG1035,AP,1,88,77,"8,25","7,90",54.0,59.0,64.0,"6,81",42.0,"7,54",16.0,S,"4,62","2,34","4,45",0,0,2,1,0,
201912565,ACUG1035,AP,1,97,93,"9,50","7,90",24.0,86.0,79.0,"8,33",24.0,"8,33",7.0,N,,,,0,1,2,1,2,
201705837,ACUG1035,AP,1,82,84,"8,30","7,90",46.0,64.0,60.0,"6,77",37.0,"7,58",12.0,N,"3,28","4,62",,0,2,1,0,0,
201611571,ACUG1035,AP,1,80,88,"8,40","7,90",39.0,62.0,66.0,"6,96",31.0,"7,41",11.0,N,"5,36","4,40",,0,0,1,1,2,
201314211,ACUG1035,AP,1,94,89,"9,15","7,90",61.0,54.0,59.0,"6,44",47.0,"7,48",16.0,N,"2,66","4,00",,0,0,2,0,0,
201650140,ACUG1035,AP,1,93,94,"9,35","7,90",45.0,68.0,70.0,"7,47",40.0,"8,03",,N,"2,93","3,02",,0,0,2,0,0,
201700499,ACUG1035,AP,1,92,80,"8,60","7,90",48.0,69.0,65.0,"7,05",40.0,"7,55",12.0,N,"4,41","5,52",,0,1,2,0,1,
201705803,ACUG1035,AP,1,88,93,"9,05","7,90",50.0,69.0,64.0,"6,85",41.0,"7,65",12.0,N,"3,31","5,72",,0,1,2,0,0,
201301138,ACUG1035,AP,1,80,78,"7,90","7,90",63.0,52.0,60.0,"6,43",47.0,"7,10",21.0,N,"4,46","4,35",,1,0,2,0,0,
201802832,ACUG1035,AP,1,84,83,"8,35","7,90",44.0,68.0,68.0,"7,25",40.0,"7,57",11.0,N,"4,00",,,0,0,1,1,3,
202006334,ACUG1036,AP,1,81,77,"8,17","6,74",22.0,73.0,72.0,"7,61",20.0,"7,84",7.0,N,"5,68","4,84",,0,0,1,2,2,
201504015,ACUG1036,RP,1,0,0,"0,00","6,74",52.0,58.0,58.0,"6,34",38.0,"7,43",15.0,N,"3,11","5,19",,0,1,0,0,2,
201906625,ACUG1036,AP,1,79,78,"7,92","6,74",26.0,71.0,65.0,"7,00",22.0,"7,50",7.0,N,"4,28",,,0,0,0,2,3,
202106167,ACUG1036,AP,1,79,77,"8,10","6,74",14.0,81.0,84.0,"8,43",14.0,"8,43",4.0,N,,,,0,0,0,2,3,
201912565,ACUG1039,AP,1,75,50,"6,92","8,32",24.0,86.0,79.0,"8,33",24.0,"8,33",7.0,N,,,,0,1,2,1,2,
201705837,ACUG1039,AP,1,73,59,"7,93","8,32",46.0,64.0,60.0,"6,77",37.0,"7,58",12.0,N,"3,28","4,62",,0,2,1,0,0,
201906112,ACUG1039,AP,1,97,84,"9,29","8,32",38.0,85.0,82.0,"8,64",37.0,"8,73",9.0,N,"5,58",,,0,1,2,0,0,
201906559,ACUG1039,AP,1,98,73,"9,08","8,32",34.0,83.0,81.0,"8,46",34.0,"8,46",8.0,N,,,,0,2,0,1,0,
201700085,ACUG1039,AP,1,79,74,"8,20","8,32",42.0,64.0,60.0,"6,71",31.0,"7,91",10.0,N,"3,43","2,34",,0,1,2,0,1,
201614922,ACUG1039,AP,1,84,55,"7,56","8,32",51.0,65.0,69.0,"7,27",41.0,"7,92",14.0,N,"4,15","5,54",,1,1,1,0,0,
201705829,ACUG1039,AP,1,83,39,"6,85","8,32",49.0,64.0,65.0,"6,92",40.0,"7,46",12.0,N,"4,40","5,24",,0,2,0,1,1,
201700499,ACUG1039,AP,1,72,80,"8,08","8,32",48.0,69.0,65.0,"7,05",40.0,"7,55",12.0,N,"4,41","5,52",,0,1,2,0,1,
201705803,ACUG1039,AP,1,87,59,"7,75","8,32",50.0,69.0,64.0,"6,85",41.0,"7,65",12.0,N,"3,31","5,72",,0,1,2,0,0,
201504015,ACUG1039,RP,1,52,0,"1,82","8,32",52.0,58.0,58.0,"6,34",38.0,"7,43",15.0,N,"3,11","5,19",,0,1,0,0,2,
202001400,ACUG1040,AP,1,80,82,"8,43","7,88",26.0,86.0,79.0,"8,44",26.0,"8,44",6.0,N,,,,0,0,3,1,1,
201914223,ACUG1040,AP,1,80,85,"8,62","7,88",30.0,86.0,81.0,"8,65",30.0,"8,65",7.0,N,,,,0,0,3,0,2,
202002440,ACUG1040,AP,1,80,80,"8,48","7,88",28.0,80.0,74.0,"7,94",28.0,"7,94",8.0,N,,,,0,0,3,1,2,
202003505,ACUG1040,AP,1,87,80,"8,75","7,88",22.0,81.0,74.0,"8,00",20.0,"8,31",6.0,N,"3,79","5,87",,0,0,3,0,3,
202001186,ACUG1040,AP,1,75,80,"8,27","7,88",24.0,87.0,80.0,"8,57",24.0,"8,57",6.0,N,,,,0,0,3,0,2,
201917168,ACUG1040,AP,1,86,93,"9,23","7,88",27.0,89.0,87.0,"9,00",27.0,"9,00",7.0,N,,,,0,0,3,0,1,
202001269,ACUG1041,AP,1,86,64,"7,50","7,31",14.0,69.0,67.0,"7,13",12.0,"7,35",5.0,N,"5,79",,,0,0,0,1,2,
202104378,ACUG1041,AP,1,46,58,"6,10","7,31",14.0,66.0,69.0,"7,28",12.0,"7,66",4.0,N,"4,98",,,0,0,0,2,3,
202108007,ACUG1041,AP,1,42,63,"7,20","7,31",8.0,67.0,61.0,"6,92",7.0,"7,31",3.0,S,"4,15",,,0,0,0,2,2,
202108973,ACUG1041,AP,1,54,57,"6,85","7,31",8.0,55.0,56.0,"6,06",5.0,"7,65",3.0,N,"3,39",,,0,0,0,1,3,
202105854,ACUG1041,AP,1,65,51,"6,45","7,31",14.0,66.0,68.0,"7,15",12.0,"7,40",4.0,N,"5,59",,,0,0,0,2,3,
202110706,ACUG1041,AP,1,75,67,"7,20","7,31",9.0,70.0,75.0,"7,54",8.0,"7,78",3.0,N,"5,65",,,0,0,0,1,4,
202107918,ACUG1041,RP,1,42,29,"4,50","7,31",8.0,60.0,62.0,"6,48",6.0,"6,98",3.0,N,"4,99",,,0,0,0,2,2,
