"COD_ESTUDIANTE","ANIO","TERMINO","DENOMINADOR","NUMERADOR"
"202313763","2024","2S",9,80.10
"202370078","2024","2S",9,0.00
"202402756","2024","2S",12,97.38
"202403861","2024","2S",24,147.12
"202404356","2024","2S",24,125.37
"202409983","2024","2S",24,171.00
"202412110","2024","2S",24,95.49
"202412987","2024","2S",24,180.12
"202413050","2024","2S",24,185.01
"202413910","2024","2S",24,189.27
"202414934","2024","2S",24,184.53
"202415436","2024","2S",24,192.21
"202415485","2024","2S",24,150.39
"202415584","2024","2S",24,164.61
"202415592","2024","2S",24,148.47
"202415667","2024","2S",24,150.54
"202415725","2024","2S",24,184.83
"202415931","2024","2S",24,127.98
"202416160","2024","2S",24,139.59
"202301909","2024","2S",27,231.75
"202401139","2024","2S",27,186.03
"202401345","2024","2S",27,151.65
"202402236","2024","2S",27,146.97
"202402442","2024","2S",27,210.24
"202402954","2024","2S",27,176.40
"202405791","2024","2S",27,86.58
"202410015","2024","2S",27,141.21
"202410122","2024","2S",27,159.57
"202410833","2024","2S",27,193.14
"202411021","2024","2S",27,118.08
"202411187","2024","2S",27,170.55
"202411674","2024","2S",27,185.31
"202412086","2024","2S",27,211.68
"202412102","2024","2S",27,198.72
"202412201","2024","2S",27,143.19
"202412235","2024","2S",27,173.70
"202412276","2024","2S",27,201.42
"202412334","2024","2S",27,179.28
"202412409","2024","2S",27,205.65
"202412425","2024","2S",27,228.15
"202412474","2024","2S",27,168.84
"202412540","2024","2S",27,178.20
"202412599","2024","2S",27,215.28
"202412698","2024","2S",27,207.63
"202412755","2024","2S",27,166.68
"202412789","2024","2S",27,213.84
"202412797","2024","2S",27,183.96
"202412847","2024","2S",27,155.43
"202412920","2024","2S",27,135.36
"202412953","2024","2S",27,196.56
"202413068","2024","2S",27,169.56
"202413076","2024","2S",27,210.78
"202413118","2024","2S",27,188.10
"202413159","2024","2S",27,186.84
"202413233","2024","2S",27,168.84
"202413282","2024","2S",27,208.98
"202413290","2024","2S",27,156.78
"202413449","2024","2S",27,208.26
"202413464","2024","2S",27,230.94
"202413548","2024","2S",27,188.28
"202413571","2024","2S",27,226.98
"202413589","2024","2S",27,192.06
"202413803","2024","2S",27,210.69
"202413829","2024","2S",27,208.62
"202413837","2024","2S",27,85.68
"202413886","2024","2S",27,199.89
"202413902","2024","2S",27,212.49
"202413936","2024","2S",27,167.13
"202413951","2024","2S",27,214.74
"202414223","2024","2S",27,156.15
"202414322","2024","2S",27,233.01
"202414421","2024","2S",27,152.10
"202414488","2024","2S",27,203.22
"202414629","2024","2S",27,187.47
"202414645","2024","2S",27,220.50
"202414660","2024","2S",27,218.97
"202414710","2024","2S",27,190.44
"202414744","2024","2S",27,187.29
"202414850","2024","2S",27,186.30
"202414884","2024","2S",27,187.56
"202414892","2024","2S",27,37.26
"202415014","2024","2S",27,178.65
"202415121","2024","2S",27,226.26
"202415246","2024","2S",27,177.93
"202415287","2024","2S",27,176.13
"202415378","2024","2S",27,188.73
"202415543","2024","2S",27,180.63
"202415642","2024","2S",27,224.46
"202415923","2024","2S",27,202.95
"202415972","2024","2S",27,188.19
"202415980","2024","2S",27,223.83
"202415998","2024","2S",27,169.92
"202416145","2024","2S",27,201.42
"202416277","2024","2S",27,167.22
"202416319","2024","2S",27,206.64
"202416327","2024","2S",27,183.78
"202416335","2024","2S",27,181.53
"202416368","2024","2S",27,204.66
"202416392","2024","2S",27,160.02
"202416400","2024","2S",27,214.20
"202416475","2024","2S",27,191.70
"202416483","2024","2S",27,231.03
"202416525","2024","2S",27,171.18
"202416863","2024","2S",27,188.46
"202416970","2024","2S",27,190.35
"202417168","2024","2S",27,203.49
"202417226","2024","2S",27,148.59
"202417267","2024","2S",27,228.87
"202417309","2024","2S",27,240.48
"202417382","2024","2S",27,212.04
"202410635","2024","2S",30,232.92
"202414082","2024","2S",30,229.50
"202414116","2024","2S",30,209.40
"202415279","2024","2S",30,270.42
"202415311","2024","2S",30,234.33
"202415386","2024","2S",30,217.47
"202416822","2024","2S",30,178.11
"202416889","2024","2S",30,223.53
"202400487","2024","2S",33,135.30
"202400628","2024","2S",33,216.72
"202401063","2024","2S",33,211.47
"202401196","2024","2S",33,161.49
"202401576","2024","2S",33,199.65
"202401832","2024","2S",33,140.49
"202401840","2024","2S",33,221.85
"202402194","2024","2S",33,172.98
"202402616","2024","2S",33,166.62
"202402624","2024","2S",33,150.75
"202402665","2024","2S",33,183.81
"202403028","2024","2S",33,236.31
"202404265","2024","2S",33,213.48
"202404299","2024","2S",33,193.98
"202404661","2024","2S",33,226.71
"202405387","2024","2S",33,212.25
"202405437","2024","2S",33,154.98
"202410288","2024","2S",33,236.58
"202410619","2024","2S",33,239.25
"202411617","2024","2S",33,255.60
"202411971","2024","2S",33,241.02
"202412128","2024","2S",33,223.95
"202412136","2024","2S",33,204.75
"202412169","2024","2S",33,246.42
"202412250","2024","2S",33,227.76
"202412268","2024","2S",33,232.65
"202412383","2024","2S",33,267.33
"202412466","2024","2S",33,236.13
"202412557","2024","2S",33,309.60
"202412672","2024","2S",33,244.62
"202412821","2024","2S",33,226.14
"202412854","2024","2S",33,267.96
"202413084","2024","2S",33,212.58
"202413092","2024","2S",33,250.05
"202413100","2024","2S",33,284.40
"202413126","2024","2S",33,258.09
"202413183","2024","2S",33,257.76
"202413191","2024","2S",33,266.58
"202413324","2024","2S",33,243.21
"202413357","2024","2S",33,300.24
"202413373","2024","2S",33,245.19
"202413480","2024","2S",33,262.14
"202413506","2024","2S",33,264.72
"202413522","2024","2S",33,264.72
"202413563","2024","2S",33,261.27
"202413605","2024","2S",33,288.63
"202413647","2024","2S",33,269.34
"202413654","2024","2S",33,283.77
"202413662","2024","2S",33,291.96
"202413688","2024","2S",33,249.09
"202413746","2024","2S",33,275.88
"202413787","2024","2S",33,248.49
"202413894","2024","2S",33,283.98
"202413944","2024","2S",33,215.01
"202413977","2024","2S",33,144.42
"202413985","2024","2S",33,245.79
"202413993","2024","2S",33,271.89
"202414058","2024","2S",33,259.14
"202414108","2024","2S",33,264.09
"202414181","2024","2S",33,273.00
"202414215","2024","2S",33,304.47
"202414231","2024","2S",33,238.71
"202414249","2024","2S",33,276.78
"202414272","2024","2S",33,299.22
"202414330","2024","2S",33,288.42
"202414454","2024","2S",33,243.84
"202414462","2024","2S",33,228.24
"202414504","2024","2S",33,258.15
"202414603","2024","2S",33,288.24
"202414652","2024","2S",33,243.15
"202414678","2024","2S",33,269.40
"202414686","2024","2S",33,253.08
"202414728","2024","2S",33,259.80
"202414835","2024","2S",33,243.96
"202414843","2024","2S",33,270.63
"202414868","2024","2S",33,247.59
"202414900","2024","2S",33,244.32
"202414967","2024","2S",33,278.55
"202414975","2024","2S",33,257.82
"202414983","2024","2S",33,209.94
"202415006","2024","2S",33,239.61
"202415048","2024","2S",33,272.61
"202415055","2024","2S",33,274.98
"202415063","2024","2S",33,262.26
"202415097","2024","2S",33,212.04
"202415105","2024","2S",33,256.02
"202415139","2024","2S",33,216.63
"202415212","2024","2S",33,278.22
"202415238","2024","2S",33,263.82
"202415345","2024","2S",33,286.32
"202415402","2024","2S",33,255.39
"202415410","2024","2S",33,265.44
"202415493","2024","2S",33,196.08
"202415519","2024","2S",33,285.09
"202415535","2024","2S",33,195.45
"202415550","2024","2S",33,273.96
"202415568","2024","2S",33,261.00
"202415576","2024","2S",33,306.45
"202415626","2024","2S",33,260.16
"202415634","2024","2S",33,226.14
"202415691","2024","2S",33,190.32
"202415717","2024","2S",33,273.69
"202415782","2024","2S",33,194.64
"202415824","2024","2S",33,255.27
"202415857","2024","2S",33,281.67
"202415865","2024","2S",33,258.72
"202415899","2024","2S",33,255.69
"202415949","2024","2S",33,245.64
"202416053","2024","2S",33,259.23
"202416061","2024","2S",33,212.13
"202416079","2024","2S",33,165.51
"202416137","2024","2S",33,309.03
"202416202","2024","2S",33,209.52
"202416210","2024","2S",33,222.63
"202416244","2024","2S",33,283.65
"202416293","2024","2S",33,170.58
"202416418","2024","2S",33,230.70
"202416624","2024","2S",33,266.25
"202416632","2024","2S",33,217.59
"202416665","2024","2S",33,187.59
"202416673","2024","2S",33,160.56
"202416723","2024","2S",33,213.45
"202416830","2024","2S",33,232.86
"202416848","2024","2S",33,249.12
"202416939","2024","2S",33,260.73
"202416954","2024","2S",33,227.52
"202417002","2024","2S",33,271.26
"202417028","2024","2S",33,258.21
"202417036","2024","2S",33,248.28
"202417044","2024","2S",33,272.67
"202417051","2024","2S",33,260.61
"202417069","2024","2S",33,250.17
"202417077","2024","2S",33,259.05
"202417093","2024","2S",33,255.87
"202417101","2024","2S",33,249.54
"202417119","2024","2S",33,234.48
"202417127","2024","2S",33,187.86
"202417135","2024","2S",33,0.00
"202417150","2024","2S",33,270.18
"202417176","2024","2S",33,261.06
"202417184","2024","2S",33,208.44
"202417192","2024","2S",33,220.92
"202417218","2024","2S",33,215.61
"202417317","2024","2S",33,194.04
"202417325","2024","2S",33,245.88
"202417333","2024","2S",33,288.48
"202417341","2024","2S",33,201.54
"202417358","2024","2S",33,253.74
"202417366","2024","2S",33,269.37
"200604908","2024","2S",34,197.00
"202302196","2024","2S",36,128.16
"202401592","2024","2S",36,208.74
"202402848","2024","2S",36,114.12
"202403135","2024","2S",36,165.51
"202403333","2024","2S",36,218.70
"202404281","2024","2S",36,264.33
"202405031","2024","2S",36,119.97
"202408852","2024","2S",36,265.68
"202409165","2024","2S",36,101.34
"202410007","2024","2S",36,246.87
"202410049","2024","2S",36,216.18
"202410056","2024","2S",36,183.96
"202410064","2024","2S",36,221.40
"202410080","2024","2S",36,187.92
"202410098","2024","2S",36,269.64
"202410106","2024","2S",36,270.72
"202410148","2024","2S",36,249.03
"202410155","2024","2S",36,269.28
"202410163","2024","2S",36,177.84
"202410197","2024","2S",36,226.80
"202410221","2024","2S",36,289.98
"202410239","2024","2S",36,280.98
"202410247","2024","2S",36,204.39
"202410254","2024","2S",36,247.68
"202410270","2024","2S",36,238.68
"202410296","2024","2S",36,248.49
"202410304","2024","2S",36,227.16
"202410312","2024","2S",36,208.80
"202410320","2024","2S",36,223.83
"202410346","2024","2S",36,222.66
"202410353","2024","2S",36,204.75
"202410361","2024","2S",36,245.79
"202410379","2024","2S",36,133.65
"202410387","2024","2S",36,297.00
"202410395","2024","2S",36,273.60
"202410403","2024","2S",36,243.90
"202410437","2024","2S",36,226.44
"202410445","2024","2S",36,207.45
"202410452","2024","2S",36,235.08
"202410460","2024","2S",36,194.58
"202410478","2024","2S",36,264.06
"202410486","2024","2S",36,113.67
"202410528","2024","2S",36,286.11
"202410536","2024","2S",36,244.53
"202410544","2024","2S",36,259.56
"202410551","2024","2S",36,287.46
"202410569","2024","2S",36,269.91
"202410577","2024","2S",36,267.12
"202410585","2024","2S",36,262.26
"202410643","2024","2S",36,262.98
"202410684","2024","2S",36,293.49
"202410700","2024","2S",36,243.72
"202410718","2024","2S",36,281.07
"202410726","2024","2S",36,274.05
"202410734","2024","2S",36,252.54
"202410767","2024","2S",36,229.86
"202410791","2024","2S",36,32.85
"202410809","2024","2S",36,266.76
"202410817","2024","2S",36,272.16
"202410825","2024","2S",36,240.48
"202410858","2024","2S",36,295.20
"202410866","2024","2S",36,271.44
"202410882","2024","2S",36,255.60
"202410890","2024","2S",36,270.81
"202410916","2024","2S",36,198.18
"202410924","2024","2S",36,241.02
"202410932","2024","2S",36,156.60
"202410940","2024","2S",36,289.98
"202410957","2024","2S",36,220.86
"202410965","2024","2S",36,208.26
"202410973","2024","2S",36,223.92
"202410981","2024","2S",36,256.32
"202410999","2024","2S",36,274.95
"202411013","2024","2S",36,249.75
"202411039","2024","2S",36,116.73
"202411054","2024","2S",36,237.78
"202411062","2024","2S",36,225.18
"202411070","2024","2S",36,211.23
"202411088","2024","2S",36,263.52
"202411104","2024","2S",36,241.29
"202411112","2024","2S",36,273.15
"202411120","2024","2S",36,245.07
"202411138","2024","2S",36,211.95
"202411146","2024","2S",36,249.03
"202411153","2024","2S",36,232.29
"202411161","2024","2S",36,241.38
"202411179","2024","2S",36,250.83
"202411195","2024","2S",36,129.51
"202411203","2024","2S",36,269.91
"202411211","2024","2S",36,150.84
"202411237","2024","2S",36,265.05
"202411245","2024","2S",36,257.94
"202411252","2024","2S",36,239.31
"202411260","2024","2S",36,216.09
"202411278","2024","2S",36,249.66
"202411286","2024","2S",36,209.07
"202411294","2024","2S",36,232.20
"202411302","2024","2S",36,250.92
"202411310","2024","2S",36,229.77
"202411336","2024","2S",36,258.57
"202411344","2024","2S",36,238.23
"202411369","2024","2S",36,270.00
"202411401","2024","2S",36,117.63
"202411419","2024","2S",36,253.53
"202411427","2024","2S",36,222.48
"202411435","2024","2S",36,264.42
"202411450","2024","2S",36,303.21
"202411476","2024","2S",36,315.27
"202411500","2024","2S",36,204.75
"202411518","2024","2S",36,221.76
"202411526","2024","2S",36,217.89
"202411534","2024","2S",36,216.45
"202411542","2024","2S",36,204.48
"202411567","2024","2S",36,234.90
"202411575","2024","2S",36,183.60
"202411583","2024","2S",36,227.34
"202411591","2024","2S",36,244.44
"202411609","2024","2S",36,259.02
"202411625","2024","2S",36,189.90
"202411633","2024","2S",36,228.06
"202411641","2024","2S",36,213.39
"202411666","2024","2S",36,201.78
"202411708","2024","2S",36,160.20
"202411724","2024","2S",36,249.30
