"COD_ESTUDIANTE","ANIO","TERMINO","DENOMINADOR","NUMERADOR"
"200818094","2020","1S",4,32.40
"201609641","2020","1S",4,0.00
"200722015","2020","1S",5,40.80
"200302602","2020","1S",7,47.30
"200107985","2020","1S",9,67.50
"200123669","2020","1S",9,72.90
"200209435","2020","1S",9,0.00
"200414514","2020","1S",9,0.90
"200604908","2020","1S",10,49.40
"200313484","2020","1S",12,0.00
"201603917","2020","1S",12,78.00
"202004784","2020","1S",12,103.80
"200224087","2020","1S",15,101.10
"200507234","2020","1S",15,89.28
"199813346","2020","1S",16,9.00
"201019148","2020","1S",16,87.00
"200303840","2020","1S",17,0.00
"200816346","2020","1S",17,120.25
"201125182","2020","1S",17,95.10
"199816414","2020","1S",18,123.09
"200012847","2020","1S",18,119.79
"200319358","2020","1S",18,59.58
"201104656","2020","1S",18,112.77
"201909777","2020","1S",18,119.25
"201912169","2020","1S",18,134.52
"201912821","2020","1S",18,147.54
"201914686","2020","1S",18,137.87
"201915667","2020","1S",18,153.18
"201917028","2020","1S",18,132.15
"200604171","2020","1S",21,116.70
"200619641","2020","1S",22,171.20
"200634145","2020","1S",22,131.80
"201912292","2020","1S",22,151.36
"201913142","2020","1S",22,147.45
"201913241","2020","1S",22,127.95
"201913514","2020","1S",22,151.89
"201913936","2020","1S",22,146.73
"201915220","2020","1S",22,133.55
"201916277","2020","1S",22,136.49
"201916434","2020","1S",22,162.22
"199715764","2020","1S",24,88.71
"200507416","2020","1S",24,160.40
"200510428","2020","1S",24,169.30
"200720290","2020","1S",24,105.48
"201905239","2020","1S",24,110.91
"201910098","2020","1S",24,155.31
"201911013","2020","1S",24,162.78
"201911948","2020","1S",24,114.06
"201912086","2020","1S",24,178.68
"201912102","2020","1S",24,159.66
"201912136","2020","1S",24,151.17
"201912193","2020","1S",24,162.15
"201912367","2020","1S",24,166.26
"201912607","2020","1S",24,130.80
"201912789","2020","1S",24,154.95
"201912847","2020","1S",24,160.41
"201913258","2020","1S",24,179.35
"201914231","2020","1S",24,178.05
"201914777","2020","1S",24,133.38
"201914884","2020","1S",24,167.79
"201915196","2020","1S",24,143.73
"201916004","2020","1S",24,180.69
"201916079","2020","1S",24,179.82
"201916103","2020","1S",24,174.63
