"COD_ESTUDIANTE","ANIO","TERMINO","DENOMINADOR","NUMERADOR"
"202313763","2025","1S",9,80.10
"202403861","2025","1S",24,147.12
"202404356","2025","1S",24,125.37
"202409983","2025","1S",24,171.00
"202412987","2025","1S",24,180.12
"202413050","2025","1S",24,185.01
"202413910","2025","1S",24,189.27
"202414934","2025","1S",24,184.53
"202415436","2025","1S",24,192.21
"202415485","2025","1S",24,150.39
"202415584","2025","1S",24,164.61
"202415592","2025","1S",24,148.47
"202415667","2025","1S",24,150.54
"202415931","2025","1S",24,127.98
"202416160","2025","1S",24,139.59
"200604171","2025","1S",27,123.54
"202301909","2025","1S",27,231.75
"202317343","2025","1S",27,67.14
"202400875","2025","1S",27,94.77
"202401139","2025","1S",27,186.03
"202401345","2025","1S",27,151.65
"202402236","2025","1S",27,146.97
"202402442","2025","1S",27,210.24
"202402954","2025","1S",27,176.40
"202405791","2025","1S",27,86.58
"202410015","2025","1S",27,141.21
"202410833","2025","1S",27,193.14
"202411021","2025","1S",27,118.08
"202411187","2025","1S",27,170.55
"202411674","2025","1S",27,185.31
"202412201","2025","1S",27,143.19
"202412334","2025","1S",27,179.28
"202412425","2025","1S",27,228.15
"202412540","2025","1S",27,178.20
"202412599","2025","1S",27,215.28
"202412698","2025","1S",27,207.63
"202412755","2025","1S",27,166.68
"202412797","2025","1S",27,183.96
"202412847","2025","1S",27,155.43
"202412920","2025","1S",27,135.36
"202412953","2025","1S",27,196.56
"202413076","2025","1S",27,210.78
"202413118","2025","1S",27,188.10
"202413159","2025","1S",27,186.84
"202413233","2025","1S",27,168.84
"202413290","2025","1S",27,156.78
"202413449","2025","1S",27,208.26
"202413464","2025","1S",27,230.94
"202413548","2025","1S",27,188.28
"202413571","2025","1S",27,226.98
"202413589","2025","1S",27,192.06
"202413803","2025","1S",27,210.69
"202413829","2025","1S",27,208.62
"202413837","2025","1S",27,85.68
"202413886","2025","1S",27,199.89
"202413902","2025","1S",27,212.49
"202413936","2025","1S",27,167.13
"202414421","2025","1S",27,152.10
"202414488","2025","1S",27,203.22
"202414629","2025","1S",27,187.47
"202414710","2025","1S",27,190.44
"202414850","2025","1S",27,186.30
"202414884","2025","1S",27,187.56
"202414892","2025","1S",27,37.26
"202415014","2025","1S",27,178.65
"202415121","2025","1S",27,226.26
"202415246","2025","1S",27,177.93
"202415378","2025","1S",27,188.73
"202415923","2025","1S",27,202.95
"202415972","2025","1S",27,188.19
"202415980","2025","1S",27,223.83
"202415998","2025","1S",27,169.92
"202416145","2025","1S",27,201.42
"202416277","2025","1S",27,167.22
"202416319","2025","1S",27,206.64
"202416327","2025","1S",27,183.78
"202416335","2025","1S",27,181.53
